Year,Month,Rainfall,WPI
2012,4,47.5,142.4
2012,5,31.7,155.9
2012,6,117.8,186.5
2012,7,250.2,194.6
2012,8,262.4,198.0
2012,9,193.5,189.4
2012,10,58.7,172.9
2012,11,30.7,171.1
2012,12,11.7,147.9
2013,1,11.3,142.3
2013,2,40.1,129.8
2013,3,15.7,124.1
2013,4,30.4,148.9
2013,5,57.8,168.5
2013,6,219.8,176.9
2013,7,310.0,181.1
2013,8,254.7,170.8
2013,9,152.7,162.4
2013,10,129.4,187.9
2013,11,14.0,249.9
2013,12,6.7,213.8
2014,1,19.2,155.6
2014,2,27.4,144.3
2014,3,36.1,158.3
2014,4,22.2,188.9
2014,5,72.9,224.0
2014,6,95.4,248.5
2014,7,261.2,265.9
2014,8,237.5,289.9
2014,9,188.0,310.7
2014,10,60.2,315.4
2014,11,14.4,320.2
2014,12,10.7,201.1
2015,1,17.4,137.5
2015,2,21.0,116.2
2015,3,62.0,109.2
2015,4,69.4,100.5
2015,5,53.8,105.5
2015,6,192.8,118.4
2015,7,242.4,130.6
2015,8,205.2,132.0
2015,9,131.8,131.2
2015,10,42.9,138.2
2015,11,39.4,152.2
2015,12,15.0,137.2
2016,1,19.3,123.0
2016,2,22.8,127.6
2016,3,27.6,133.2
2016,4,37.4,167.7
2016,5,62.6,194.1
2016,6,168.3,214.3
2016,7,289.1,230.4
2016,8,256.3,235.5
2016,9,171.9,229.8
2016,10,76.1,214.7
2016,11,29.7,201.8
2016,12,14.9,128.5
2017,1,19.0,102.5
2017,2,22.6,96.8
2017,3,27.8,91.1
2017,4,37.9,99.5
2017,5,62.4,109.0
2017,6,168.1,112.5
2017,7,289.3,132.6
2017,8,256.2,132.0
2017,9,171.5,122.3
2017,10,76.3,119.6
2017,11,29.9,119.6
2017,12,15.0,117.7
2018,1,19.2,111.4
2018,2,20.1,108.1
2018,3,27.1,130.5
2018,4,40.2,170.8
2018,5,62.7,205.5
2018,6,165.0,224.6
2018,7,286.3,232.3
2018,8,254.3,226.0
2018,9,171.9,220.0
2018,10,77.2,232.6
2018,11,28.1,225.5
2018,12,14.1,167.0
2019,1,18.5,141.4
2019,2,33.1,131.4
2019,3,18.7,133.8
2019,4,31.5,143.1
2019,5,51.3,157.9
2019,6,113.5,170.1
2019,7,298.8,176.2
2019,8,299.9,175.7
2019,9,259.5,170.4
2019,10,110.1,187.0
2019,11,31.6,206.3
2019,12,19.2,250.6
2020,1,28.3,262.3
2020,2,12.1,211.2
2020,3,44.7,215.9
2020,4,42.7,231.9
2020,5,71.8,240.9
2020,6,195.6,265.7
2020,7,257.1,297.9
2020,8,327.8,322.3
2020,9,178.0,372.6
2020,10,78.3,410.0
2020,11,29.2,491.1
2020,12,17.0,364.4
2021,1,20.2,200.7
2021,2,7.6,147.5
2021,3,16.7,143.8
2021,4,31.1,162.3
2021,5,107.8,178.0
2021,6,182.4,183.1
2021,7,266.2,188.6
2021,8,196.3,201.8
2021,9,229.6,190.2
2021,10,100.8,204.6
2021,11,56.5,254.5
2021,12,20.5,209.6
2022,1,39.5,171.7
2022,2,19.1,170.6
2022,3,8.9,181.7
2022,4,38.2,194.5
2022,5,83.2,232.0
2022,6,152.2,259.1
2022,7,327.2,291.4
2022,8,264.0,291.4
2022,9,181.4,284.9
2022,10,111.8,296.5
2022,11,18.6,289.5
2022,12,13.6,251.7
2023,1,14.8,184.6
2023,2,7.2,146.0
2023,3,37.6,135.2
2023,4,41.4,157.0
2023,5,67.5,190.0
2023,6,151.2,204.3
2023,7,315.9,221.3
2023,8,162.7,221.4
2023,9,190.0,212.2
2023,10,50.8,209.7
2023,11,34.6,210.3
2023,12,25.5,189.8
2024,1,7.2,169.5
2024,2,19.6,169.6
2024,3,28.5,214.2
2024,4,31.4,270.0
2024,5,66.0,311.7
2024,6,147.2,343.7
2024,7,305.8,397.7
2024,8,293.9,393.6
2024,9,187.3,376.2
2024,10,75.7,375.6
2024,11,13.6,384.1
2024,12,28.1,365.1
