Year,Month,Rainfall,WPI
2012,4,47.5,133.6
2012,5,31.7,107.6
2012,6,117.8,103.3
2012,7,250.2,144.7
2012,8,262.4,128.5
2012,9,193.5,118.8
2012,10,58.7,103.2
2012,11,30.7,94.6
2012,12,11.7,111.0
2013,1,11.3,133.5
2013,2,40.1,142.7
2013,3,15.7,164.2
2013,4,30.4,146.2
2013,5,57.8,113.4
2013,6,219.8,118.9
2013,7,310.0,152.3
2013,8,254.7,166.5
2013,9,152.7,180.7
2013,10,129.4,224.3
2013,11,14.0,211.3
2013,12,6.7,136.7
2014,1,19.2,169.8
2014,2,27.4,143.5
2014,3,36.1,145.1
2014,4,22.2,119.6
2014,5,72.9,88.3
2014,6,95.4,116.3
2014,7,261.2,142.5
2014,8,237.5,148.1
2014,9,188.0,173.8
2014,10,60.2,159.9
2014,11,14.4,182.0
2014,12,10.7,145.0
2015,1,17.4,167.9
2015,2,21.0,162.6
2015,3,62.0,187.9
2015,4,69.4,135.9
2015,5,53.8,115.3
2015,6,192.8,104.2
2015,7,242.4,118.5
2015,8,205.2,118.5
2015,9,131.8,118.5
2015,10,42.9,118.5
2015,11,39.4,118.5
2015,12,15.0,118.5
2016,1,19.3,118.5
2016,2,22.8,118.5
2016,3,27.6,118.5
2016,4,37.4,153.3
2016,5,62.6,134.2
2016,6,168.3,130.8
2016,7,289.1,165.5
2016,8,256.3,161.1
2016,9,171.9,150.9
2016,10,76.1,126.2
2016,11,29.7,133.0
2016,12,14.9,128.0
2017,1,19.0,126.9
2017,2,22.6,132.4
2017,3,27.8,141.1
2017,4,37.9,143.1
2017,5,62.4,131.9
2017,6,168.1,122.1
2017,7,289.3,140.7
2017,8,256.2,155.0
2017,9,171.5,143.8
2017,10,76.3,137.1
2017,11,29.9,145.4
2017,12,15.0,148.8
2018,1,19.2,154.5
2018,2,20.1,144.6
2018,3,27.1,134.4
2018,4,40.2,112.9
2018,5,62.7,119.4
2018,6,165.0,116.7
2018,7,286.3,122.7
2018,8,254.3,144.8
2018,9,171.9,121.0
2018,10,77.2,122.6
2018,11,28.1,126.8
2018,12,14.1,125.8
2019,1,18.5,123.9
2019,2,33.1,127.3
2019,3,18.7,151.7
2019,4,31.5,165.0
2019,5,51.3,174.3
2019,6,113.5,156.1
2019,7,298.8,151.8
2019,8,299.9,134.3
2019,9,259.5,139.5
2019,10,110.1,154.1
2019,11,31.6,165.3
2019,12,19.2,196.1
2020,1,28.3,190.5
2020,2,12.1,176.1
2020,3,44.7,167.0
2020,4,42.7,172.3
2020,5,71.8,150.4
2020,6,195.6,157.6
2020,7,257.1,166.5
2020,8,327.8,170.4
2020,9,178.0,175.9
2020,10,78.3,190.2
2020,11,29.2,169.8
2020,12,17.0,177.1
2021,1,20.2,153.6
2021,2,7.6,163.0
2021,3,16.7,158.3
2021,4,31.1,151.2
2021,5,107.8,145.7
2021,6,182.4,147.9
2021,7,266.2,177.7
2021,8,196.3,167.0
2021,9,229.6,131.4
2021,10,100.8,129.8
2021,11,56.5,144.2
2021,12,20.5,160.1
2022,1,39.5,189.9
2022,2,19.1,204.7
2022,3,8.9,190.2
2022,4,38.2,158.8
2022,5,83.2,146.6
2022,6,152.2,146.7
2022,7,327.2,185.9
2022,8,264.0,212.6
2022,9,181.4,212.2
2022,10,111.8,209.6
2022,11,18.6,194.4
2022,12,13.6,170.8
2023,1,14.8,150.8
2023,2,7.2,159.2
2023,3,37.6,170.1
2023,4,41.4,156.0
2023,5,67.5,130.8
2023,6,151.2,135.9
2023,7,315.9,170.2
2023,8,162.7,169.5
2023,9,190.0,154.8
2023,10,50.8,160.7
2023,11,34.6,163.6
2023,12,25.5,158.2
2024,1,7.2,177.8
2024,2,19.6,183.2
2024,3,28.5,203.0
2024,4,31.4,204.2
2024,5,66.0,169.4
2024,6,147.2,167.8
2024,7,305.8,207.1
2024,8,293.9,210.6
2024,9,187.3,178.8
2024,10,75.7,205.3
2024,11,13.6,199.7
2024,12,28.1,220.8
