Year,Month,Rainfall,WPI
2012,4,47.5,107.2
2012,5,31.7,110.3
2012,6,117.8,108.9
2012,7,250.2,115.6
2012,8,262.4,126.4
2012,9,193.5,134.1
2012,10,58.7,149.5
2012,11,30.7,161.5
2012,12,11.7,162.1
2013,1,11.3,159.7
2013,2,40.1,170.2
2013,3,15.7,173.8
2013,4,30.4,173.1
2013,5,57.8,172.9
2013,6,219.8,170.4
2013,7,310.0,174.2
2013,8,254.7,174.5
2013,9,152.7,169.9
2013,10,129.4,166.7
2013,11,14.0,167.2
2013,12,6.7,164.3
2014,1,19.2,156.6
2014,2,27.4,158.1
2014,3,36.1,162.5
2014,4,22.2,163.2
2014,5,72.9,159.2
2014,6,95.4,157.6
2014,7,261.2,159.6
2014,8,237.5,163.7
2014,9,188.0,163.0
2014,10,60.2,161.7
2014,11,14.4,154.4
2014,12,10.7,160.6
2015,1,17.4,160.6
2015,2,21.0,161.1
2015,3,62.0,166.7
2015,4,69.4,164.2
2015,5,53.8,159.5
2015,6,192.8,158.7
2015,7,242.4,156.1
2015,8,205.2,159.1
2015,9,131.8,161.5
2015,10,42.9,159.5
2015,11,39.4,157.0
2015,12,15.0,158.1
2016,1,19.3,164.3
2016,2,22.8,166.9
2016,3,27.6,167.3
2016,4,37.4,174.1
2016,5,62.6,177.0
2016,6,168.3,169.3
2016,7,289.1,169.3
2016,8,256.3,167.1
2016,9,171.9,167.3
2016,10,76.1,178.1
2016,11,29.7,209.0
2016,12,14.9,228.6
2017,1,19.0,242.6
2017,2,22.6,242.9
2017,3,27.8,258.0
2017,4,37.9,252.8
2017,5,62.4,245.0
2017,6,168.1,237.5
2017,7,289.3,247.0
2017,8,256.2,261.9
2017,9,171.5,252.5
2017,10,76.3,233.7
2017,11,29.9,217.3
2017,12,15.0,217.6
2018,1,19.2,207.9
2018,2,20.1,214.9
2018,3,27.1,220.8
2018,4,40.2,213.5
2018,5,62.7,211.2
2018,6,165.0,208.3
2018,7,286.3,206.6
2018,8,254.3,216.2
2018,9,171.9,213.0
2018,10,77.2,214.1
2018,11,28.1,211.4
2018,12,14.1,212.9
2019,1,18.5,223.4
2019,2,33.1,224.9
2019,3,18.7,221.4
2019,4,31.5,221.7
2019,5,51.3,223.1
2019,6,113.5,220.3
2019,7,298.8,221.4
2019,8,299.9,228.9
2019,9,259.5,233.1
2019,10,110.1,226.9
2019,11,31.6,220.9
2019,12,19.2,213.5
2020,1,28.3,213.8
2020,2,12.1,211.9
2020,3,44.7,215.0
2020,4,42.7,224.5
2020,5,71.8,229.6
2020,6,195.6,228.2
2020,7,257.1,232.7
2020,8,327.8,231.9
2020,9,178.0,225.1
2020,10,78.3,223.9
2020,11,29.2,228.4
2020,12,17.0,230.1
2021,1,20.2,226.2
2021,2,7.6,226.8
2021,3,16.7,232.0
2021,4,31.1,231.8
2021,5,107.8,233.7
2021,6,182.4,235.2
2021,7,266.2,233.1
2021,8,196.3,230.1
2021,9,229.6,227.8
2021,10,100.8,227.1
2021,11,56.5,229.3
2021,12,20.5,229.6
2022,1,39.5,232.2
2022,2,19.1,235.4
2022,3,8.9,234.9
2022,4,38.2,233.4
2022,5,83.2,231.1
2022,6,152.2,225.9
2022,7,327.2,219.4
2022,8,264.0,209.7
2022,9,181.4,203.9
2022,10,111.8,207.0
2022,11,18.6,208.6
2022,12,13.6,213.3
2023,1,14.8,221.6
2023,2,7.2,222.0
2023,3,37.6,224.3
2023,4,41.4,233.8
2023,5,67.5,237.0
2023,6,151.2,237.1
2023,7,315.9,245.4
2023,8,162.7,256.6
2023,9,190.0,259.0
2023,10,50.8,263.1
2023,11,34.6,269.5
2023,12,25.5,279.2
2024,1,7.2,278.9
2024,2,19.6,285.6
2024,3,28.5,291.9
2024,4,31.4,294.5
2024,5,66.0,300.4
2024,6,147.2,303.3
2024,7,305.8,309.2
2024,8,293.9,321.5
2024,9,187.3,321.2
2024,10,75.7,316.1
2024,11,13.6,312.8
2024,12,28.1,316.9
