Year,Month,Rainfall,WPI
2012,4,47.5,134.7
2012,5,31.7,138.7
2012,6,117.8,146.9
2012,7,250.2,151.2
2012,8,262.4,153.9
2012,9,193.5,151.2
2012,10,58.7,153.9
2012,11,30.7,157.6
2012,12,11.7,148.4
2013,1,11.3,149.2
2013,2,40.1,161.4
2013,3,15.7,164.8
2013,4,30.4,166.1
2013,5,57.8,166.7
2013,6,219.8,167.2
2013,7,310.0,171.6
2013,8,254.7,174.9
2013,9,152.7,174.6
2013,10,129.4,175.9
2013,11,14.0,180.5
2013,12,6.7,185.8
2014,1,19.2,186.6
2014,2,27.4,183.8
2014,3,36.1,183.2
2014,4,22.2,180.2
2014,5,72.9,172.6
2014,6,95.4,172.5
2014,7,261.2,173.0
2014,8,237.5,166.9
2014,9,188.0,162.7
2014,10,60.2,162.0
2014,11,14.4,159.9
2014,12,10.7,157.7
2015,1,17.4,157.8
2015,2,21.0,156.2
2015,3,62.0,155.0
2015,4,69.4,157.2
2015,5,53.8,156.7
2015,6,192.8,157.0
2015,7,242.4,155.0
2015,8,205.2,155.0
2015,9,131.8,155.0
2015,10,42.9,155.0
2015,11,39.4,155.0
2015,12,15.0,155.0
2016,1,19.3,155.0
2016,2,22.8,155.0
2016,3,27.6,155.0
2016,4,37.4,153.8
2016,5,62.6,158.3
2016,6,168.3,158.4
2016,7,289.1,159.5
2016,8,256.3,153.9
2016,9,171.9,153.8
2016,10,76.1,157.7
2016,11,29.7,160.4
2016,12,14.9,166.1
2017,1,19.0,165.5
2017,2,22.6,165.1
2017,3,27.8,163.0
2017,4,37.9,162.2
2017,5,62.4,160.0
2017,6,168.1,157.5
2017,7,289.3,157.9
2017,8,256.2,157.3
2017,9,171.5,157.8
2017,10,76.3,156.1
2017,11,29.9,151.3
2017,12,15.0,144.9
2018,1,19.2,141.2
2018,2,20.1,137.0
2018,3,27.1,134.1
2018,4,40.2,132.6
2018,5,62.7,132.5
2018,6,165.0,132.2
2018,7,286.3,132.3
2018,8,254.3,133.2
2018,9,171.9,132.8
2018,10,77.2,132.2
2018,11,28.1,133.0
2018,12,14.1,134.8
2019,1,18.5,133.6
2019,2,33.1,133.0
2019,3,18.7,131.2
2019,4,31.5,131.9
2019,5,51.3,132.2
2019,6,113.5,133.0
2019,7,298.8,132.9
2019,8,299.9,134.3
2019,9,259.5,135.9
2019,10,110.1,137.7
2019,11,31.6,142.5
2019,12,19.2,141.3
2020,1,28.3,141.8
2020,2,12.1,142.7
2020,3,44.7,142.2
2020,4,42.7,142.2
2020,5,71.8,142.9
2020,6,195.6,145.5
2020,7,257.1,145.9
2020,8,327.8,145.5
2020,9,178.0,147.8
2020,10,78.3,153.4
2020,11,29.2,155.6
2020,12,17.0,167.4
2021,1,20.2,179.5
2021,2,7.6,183.7
2021,3,16.7,197.2
2021,4,31.1,199.8
2021,5,107.8,200.0
2021,6,182.4,201.9
2021,7,266.2,206.1
2021,8,196.3,217.4
2021,9,229.6,220.3
2021,10,100.8,224.0
2021,11,56.5,227.2
2021,12,20.5,250.3
2022,1,39.5,248.7
2022,2,19.1,244.9
2022,3,8.9,246.7
2022,4,38.2,246.3
2022,5,83.2,246.8
2022,6,152.2,245.0
2022,7,327.2,250.4
2022,8,264.0,257.1
2022,9,181.4,253.3
2022,10,111.8,253.2
2022,11,18.6,246.3
2022,12,13.6,237.8
2023,1,14.8,239.6
2023,2,7.2,240.6
2023,3,37.6,240.1
2023,4,41.4,238.6
2023,5,67.5,238.2
2023,6,151.2,241.8
2023,7,315.9,243.8
2023,8,162.7,249.8
2023,9,190.0,250.0
2023,10,50.8,246.4
2023,11,34.6,244.2
2023,12,25.5,243.2
2024,1,7.2,233.5
2024,2,19.6,233.7
2024,3,28.5,234.6
2024,4,31.4,230.6
2024,5,66.0,231.8
2024,6,147.2,237.9
2024,7,305.8,242.5
2024,8,293.9,242.0
2024,9,187.3,242.4
2024,10,75.7,243.5
2024,11,13.6,237.4
2024,12,28.1,229.5
