Year,Month,Rainfall,WPI
2012,4,47.5,117.9
2012,5,31.7,118.4
2012,6,117.8,119.3
2012,7,250.2,129.5
2012,8,262.4,134.6
2012,9,193.5,136.7
2012,10,58.7,141.0
2012,11,30.7,142.2
2012,12,11.7,141.2
2013,1,11.3,138.0
2013,2,40.1,132.6
2013,3,15.7,121.6
2013,4,30.4,117.7
2013,5,57.8,117.4
2013,6,219.8,117.4
2013,7,310.0,116.5
2013,8,254.7,116.9
2013,9,152.7,119.0
2013,10,129.4,120.1
2013,11,14.0,122.9
2013,12,6.7,122.7
2014,1,19.2,120.4
2014,2,27.4,119.3
2014,3,36.1,118.5
2014,4,22.2,116.9
2014,5,72.9,115.9
2014,6,95.4,117.7
2014,7,261.2,121.1
2014,8,237.5,121.0
2014,9,188.0,122.0
2014,10,60.2,122.3
2014,11,14.4,124.3
2014,12,10.7,129.1
2015,1,17.4,127.1
2015,2,21.0,128.0
2015,3,62.0,126.7
2015,4,69.4,127.5
2015,5,53.8,138.6
2015,6,192.8,143.0
2015,7,242.4,143.8
2015,8,205.2,145.1
2015,9,131.8,148.0
2015,10,42.9,158.8
2015,11,39.4,163.2
2015,12,15.0,161.3
2016,1,19.3,154.3
2016,2,22.8,135.3
2016,3,27.6,132.3
2016,4,37.4,144.2
2016,5,62.6,147.4
2016,6,168.3,150.8
2016,7,289.1,155.0
2016,8,256.3,155.9
2016,9,171.9,155.5
2016,10,76.1,152.8
2016,11,29.7,153.5
2016,12,14.9,151.2
2017,1,19.0,147.7
2017,2,22.6,143.4
2017,3,27.8,135.3
2017,4,37.9,130.6
2017,5,62.4,130.7
2017,6,168.1,129.9
2017,7,289.3,131.0
2017,8,256.2,133.3
2017,9,171.5,134.6
2017,10,76.3,134.2
2017,11,29.9,135.6
2017,12,15.0,138.2
2018,1,19.2,137.6
2018,2,20.1,136.8
2018,3,27.1,136.1
2018,4,40.2,136.8
2018,5,62.7,136.9
2018,6,165.0,137.4
2018,7,286.3,140.8
2018,8,254.3,143.8
2018,9,171.9,145.6
2018,10,77.2,145.8
2018,11,28.1,146.6
2018,12,14.1,145.7
2019,1,18.5,144.5
2019,2,33.1,143.3
2019,3,18.7,139.4
2019,4,31.5,138.2
2019,5,51.3,139.2
2019,6,113.5,141.5
2019,7,298.8,141.9
2019,8,299.9,143.2
2019,9,259.5,144.0
2019,10,110.1,144.9
2019,11,31.6,146.5
2019,12,19.2,150.1
2020,1,28.3,152.9
2020,2,12.1,150.5
2020,3,44.7,148.2
2020,4,42.7,147.3
2020,5,71.8,148.6
2020,6,195.6,151.9
2020,7,257.1,154.6
2020,8,327.8,159.3
2020,9,178.0,164.0
2020,10,78.3,166.4
2020,11,29.2,171.9
2020,12,17.0,171.3
2021,1,20.2,177.5
2021,2,7.6,178.9
2021,3,16.7,172.9
2021,4,31.1,181.1
2021,5,107.8,196.0
2021,6,182.4,200.2
2021,7,266.2,202.3
2021,8,196.3,210.9
2021,9,229.6,219.1
2021,10,100.8,224.0
2021,11,56.5,225.1
2021,12,20.5,222.8
2022,1,39.5,216.8
2022,2,19.1,216.6
2022,3,8.9,210.9
2022,4,38.2,208.3
2022,5,83.2,210.8
2022,6,152.2,206.0
2022,7,327.2,204.0
2022,8,264.0,201.6
2022,9,181.4,198.2
2022,10,111.8,197.4
2022,11,18.6,201.9
2022,12,13.6,199.3
2023,1,14.8,196.2
2023,2,7.2,185.9
2023,3,37.6,176.2
2023,4,41.4,171.7
2023,5,67.5,167.5
2023,6,151.2,162.0
2023,7,315.9,163.8
2023,8,162.7,166.2
2023,9,190.0,165.5
2023,10,50.8,166.0
2023,11,34.6,167.1
2023,12,25.5,167.4
2024,1,7.2,165.7
2024,2,19.6,162.8
2024,3,28.5,162.2
2024,4,31.4,163.0
2024,5,66.0,164.5
2024,6,147.2,172.0
2024,7,305.8,174.9
2024,8,293.9,175.7
2024,9,187.3,182.5
2024,10,75.7,191.9
2024,11,13.6,191.9
2024,12,28.1,190.5
