Year,Month,Rainfall,WPI
2012,4,47.5,89.9
2012,5,31.7,92.1
2012,6,117.8,92.7
2012,7,250.2,102.0
2012,8,262.4,103.6
2012,9,193.5,97.5
2012,10,58.7,91.8
2012,11,30.7,92.4
2012,12,11.7,92.5
2013,1,11.3,91.8
2013,2,40.1,93.9
2013,3,15.7,100.2
2013,4,30.4,98.8
2013,5,57.8,100.2
2013,6,219.8,105.7
2013,7,310.0,111.6
2013,8,254.7,116.3
2013,9,152.7,115.5
2013,10,129.4,111.9
2013,11,14.0,107.5
2013,12,6.7,105.0
2014,1,19.2,111.7
2014,2,27.4,111.8
2014,3,36.1,107.4
2014,4,22.2,106.3
2014,5,72.9,106.1
2014,6,95.4,108.2
2014,7,261.2,106.4
2014,8,237.5,104.8
2014,9,188.0,95.9
2014,10,60.2,90.6
2014,11,14.4,88.3
2014,12,10.7,89.5
2015,1,17.4,86.5
2015,2,21.0,83.4
2015,3,62.0,83.6
2015,4,69.4,89.5
2015,5,53.8,93.0
2015,6,192.8,91.8
2015,7,242.4,91.5
2015,8,205.2,90.8
2015,9,131.8,91.3
2015,10,42.9,86.7
2015,11,39.4,86.2
2015,12,15.0,89.4
2016,1,19.3,90.4
2016,2,22.8,87.7
2016,3,27.6,85.7
2016,4,37.4,89.9
2016,5,62.6,93.5
2016,6,168.3,104.5
2016,7,289.1,116.4
2016,8,256.3,115.6
2016,9,171.9,111.0
2016,10,76.1,105.9
2016,11,29.7,102.1
2016,12,14.9,103.6
2017,1,19.0,111.4
2017,2,22.6,113.9
2017,3,27.8,114.3
2017,4,37.9,111.5
2017,5,62.4,109.4
2017,6,168.1,110.7
2017,7,289.3,110.7
2017,8,256.2,110.1
2017,9,171.5,106.5
2017,10,76.3,100.8
2017,11,29.9,101.7
2017,12,15.0,107.6
2018,1,19.2,110.6
2018,2,20.1,106.9
2018,3,27.1,103.3
2018,4,40.2,102.9
2018,5,62.7,105.0
2018,6,165.0,116.7
2018,7,286.3,121.9
2018,8,254.3,122.6
2018,9,171.9,120.9
2018,10,77.2,121.1
2018,11,28.1,122.6
2018,12,14.1,119.3
2019,1,18.5,115.5
2019,2,33.1,113.1
2019,3,18.7,117.1
2019,4,31.5,125.0
2019,5,51.3,125.2
2019,6,113.5,124.9
2019,7,298.8,123.2
2019,8,299.9,120.7
2019,9,259.5,117.7
2019,10,110.1,113.6
2019,11,31.6,109.6
2019,12,19.2,108.9
2020,1,28.3,109.0
2020,2,12.1,107.5
2020,3,44.7,107.0
2020,4,42.7,106.8
2020,5,71.8,104.4
2020,6,195.6,106.1
2020,7,257.1,106.4
2020,8,327.8,92.0
2020,9,178.0,94.8
2020,10,78.3,99.6
2020,11,29.2,105.4
2020,12,17.0,107.9
2021,1,20.2,109.9
2021,2,7.6,113.9
2021,3,16.7,116.1
2021,4,31.1,114.9
2021,5,107.8,116.6
2021,6,182.4,125.6
2021,7,266.2,131.2
2021,8,196.3,134.0
2021,9,229.6,132.6
2021,10,100.8,141.5
2021,11,56.5,147.9
2021,12,20.5,146.6
2022,1,39.5,159.1
2022,2,19.1,173.3
2022,3,8.9,185.0
2022,4,38.2,209.8
2022,5,83.2,235.1
2022,6,152.2,226.2
2022,7,327.2,203.6
2022,8,264.0,219.6
2022,9,181.4,201.5
2022,10,111.8,179.4
2022,11,18.6,183.0
2022,12,13.6,178.9
2023,1,14.8,172.7
2023,2,7.2,171.1
2023,3,37.6,169.3
2023,4,41.4,172.2
2023,5,67.5,165.9
2023,6,151.2,161.7
2023,7,315.9,157.7
2023,8,162.7,162.2
2023,9,190.0,164.0
2023,10,50.8,159.4
2023,11,34.6,158.1
2023,12,25.5,152.9
2024,1,7.2,152.8
2024,2,19.6,151.0
2024,3,28.5,157.1
2024,4,31.4,152.7
2024,5,66.0,149.9
2024,6,147.2,150.6
2024,7,305.8,154.7
2024,8,293.9,152.9
2024,9,187.3,156.8
2024,10,75.7,151.3
2024,11,13.6,149.2
2024,12,28.1,148.2
