Year,Month,Rainfall,WPI
2012,4,47.5,103.0
2012,5,31.7,107.4
2012,6,117.8,111.3
2012,7,250.2,115.8
2012,8,262.4,131.2
2012,9,193.5,129.0
2012,10,58.7,127.0
2012,11,30.7,124.8
2012,12,11.7,129.5
2013,1,11.3,132.2
2013,2,40.1,131.1
2013,3,15.7,131.8
2013,4,30.4,137.6
2013,5,57.8,139.8
2013,6,219.8,142.4
2013,7,310.0,145.5
2013,8,254.7,149.6
2013,9,152.7,170.3
2013,10,129.4,169.9
2013,11,14.0,165.5
2013,12,6.7,162.9
2014,1,19.2,150.7
2014,2,27.4,162.8
2014,3,36.1,156.5
2014,4,22.2,157.8
2014,5,72.9,153.6
2014,6,95.4,150.2
2014,7,261.2,142.4
2014,8,237.5,136.2
2014,9,188.0,144.6
2014,10,60.2,134.4
2014,11,14.4,135.9
2014,12,10.7,129.2
2015,1,17.4,131.1
2015,2,21.0,126.6
2015,3,62.0,131.2
2015,4,69.4,130.7
2015,5,53.8,117.4
2015,6,192.8,109.8
2015,7,242.4,103.2
2015,8,205.2,105.3
2015,9,131.8,105.0
2015,10,42.9,101.5
2015,11,39.4,103.4
2015,12,15.0,108.4
2016,1,19.3,113.4
2016,2,22.8,119.9
2016,3,27.6,126.6
2016,4,37.4,122.1
2016,5,62.6,121.1
2016,6,168.3,120.1
2016,7,289.1,124.2
2016,8,256.3,128.7
2016,9,171.9,130.4
2016,10,76.1,127.8
2016,11,29.7,130.3
2016,12,14.9,135.5
2017,1,19.0,155.9
2017,2,22.6,152.6
2017,3,27.8,170.7
2017,4,37.9,177.9
2017,5,62.4,171.3
2017,6,168.1,170.7
2017,7,289.3,166.3
2017,8,256.2,167.0
2017,9,171.5,176.0
2017,10,76.3,174.1
2017,11,29.9,180.4
2017,12,15.0,188.4
2018,1,19.2,192.0
2018,2,20.1,198.9
2018,3,27.1,203.8
2018,4,40.2,191.8
2018,5,62.7,180.0
2018,6,165.0,173.2
2018,7,286.3,153.9
2018,8,254.3,154.2
2018,9,171.9,155.5
2018,10,77.2,148.6
2018,11,28.1,142.1
2018,12,14.1,141.4
2019,1,18.5,151.3
2019,2,33.1,146.0
2019,3,18.7,138.4
2019,4,31.5,137.7
2019,5,51.3,142.3
2019,6,113.5,144.0
2019,7,298.8,141.4
2019,8,299.9,143.6
2019,9,259.5,158.5
2019,10,110.1,157.9
2019,11,31.6,158.7
2019,12,19.2,167.6
2020,1,28.3,167.2
2020,2,12.1,180.3
2020,3,44.7,169.4
2020,4,42.7,156.1
2020,5,71.8,138.8
2020,6,195.6,115.4
2020,7,257.1,101.4
2020,8,327.8,122.4
2020,9,178.0,125.7
2020,10,78.3,120.6
2020,11,29.2,124.7
2020,12,17.0,136.6
2021,1,20.2,145.7
2021,2,7.6,153.9
2021,3,16.7,149.3
2021,4,31.1,153.1
2021,5,107.8,149.2
2021,6,182.4,149.0
2021,7,266.2,153.0
2021,8,196.3,161.5
2021,9,229.6,173.3
2021,10,100.8,183.4
2021,11,56.5,179.5
2021,12,20.5,229.8
2022,1,39.5,257.4
2022,2,19.1,275.2
2022,3,8.9,280.3
2022,4,38.2,239.8
2022,5,83.2,225.8
2022,6,152.2,215.9
2022,7,327.2,222.7
2022,8,264.0,220.6
2022,9,181.4,237.6
2022,10,111.8,263.4
2022,11,18.6,239.2
2022,12,13.6,231.5
2023,1,14.8,245.8
2023,2,7.2,233.9
2023,3,37.6,222.1
2023,4,41.4,198.1
2023,5,67.5,201.8
2023,6,151.2,188.0
2023,7,315.9,174.7
2023,8,162.7,186.2
2023,9,190.0,187.8
2023,10,50.8,188.1
2023,11,34.6,189.8
2023,12,25.5,184.0
2024,1,7.2,195.7
2024,2,19.6,174.7
2024,3,28.5,179.2
2024,4,31.4,179.2
2024,5,66.0,184.6
2024,6,147.2,179.5
2024,7,305.8,181.3
2024,8,293.9,170.8
2024,9,187.3,163.8
2024,10,75.7,172.6
2024,11,13.6,172.7
2024,12,28.1,174.9
