Year,Month,Rainfall,WPI
2012,4,47.5,109.9
2012,5,31.7,110.2
2012,6,117.8,110.9
2012,7,250.2,111.9
2012,8,262.4,112.1
2012,9,193.5,111.5
2012,10,58.7,109.6
2012,11,30.7,108.8
2012,12,11.7,104.0
2013,1,11.3,104.6
2013,2,40.1,101.8
2013,3,15.7,100.2
2013,4,30.4,97.2
2013,5,57.8,96.4
2013,6,219.8,97.7
2013,7,310.0,98.7
2013,8,254.7,102.0
2013,9,152.7,102.9
2013,10,129.4,103.8
2013,11,14.0,107.5
2013,12,6.7,105.1
2014,1,19.2,102.8
2014,2,27.4,102.1
2014,3,36.1,103.8
2014,4,22.2,104.9
2014,5,72.9,105.0
2014,6,95.4,103.8
2014,7,261.2,103.0
2014,8,237.5,103.6
2014,9,188.0,103.3
2014,10,60.2,102.7
2014,11,14.4,100.5
2014,12,10.7,97.5
2015,1,17.4,98.2
2015,2,21.0,99.1
2015,3,62.0,98.1
2015,4,69.4,97.8
2015,5,53.8,99.0
2015,6,192.8,99.7
2015,7,242.4,98.9
2015,8,205.2,96.3
2015,9,131.8,97.4
2015,10,42.9,99.8
2015,11,39.4,99.9
2015,12,15.0,99.2
2016,1,19.3,96.0
2016,2,22.8,97.6
2016,3,27.6,100.2
2016,4,37.4,104.0
2016,5,62.6,104.2
2016,6,168.3,105.5
2016,7,289.1,106.9
2016,8,256.3,108.1
2016,9,171.9,108.3
2016,10,76.1,112.0
2016,11,29.7,112.5
2016,12,14.9,113.9
2017,1,19.0,114.6
2017,2,22.6,112.5
2017,3,27.8,110.1
2017,4,37.9,107.8
2017,5,62.4,105.3
2017,6,168.1,104.6
2017,7,289.3,106.5
2017,8,256.2,109.2
2017,9,171.5,110.8
2017,10,76.3,112.0
2017,11,29.9,114.4
2017,12,15.0,115.6
2018,1,19.2,114.1
2018,2,20.1,114.0
2018,3,27.1,120.6
2018,4,40.2,122.1
2018,5,62.7,125.4
2018,6,165.0,126.5
2018,7,286.3,127.6
2018,8,254.3,127.3
2018,9,171.9,128.1
2018,10,77.2,126.5
2018,11,28.1,125.4
2018,12,14.1,119.9
2019,1,18.5,118.1
2019,2,33.1,117.0
2019,3,18.7,113.9
2019,4,31.5,113.4
2019,5,51.3,112.3
2019,6,113.5,112.3
2019,7,298.8,114.3
2019,8,299.9,118.6
2019,9,259.5,120.9
2019,10,110.1,121.9
2019,11,31.6,123.5
2019,12,19.2,130.7
2020,1,28.3,133.1
2020,2,12.1,127.5
2020,3,44.7,122.4
2020,4,42.7,125.6
2020,5,71.8,124.9
2020,6,195.6,128.7
2020,7,257.1,131.7
2020,8,327.8,136.1
2020,9,178.0,143.5
2020,10,78.3,144.4
2020,11,29.2,152.2
2020,12,17.0,158.5
2021,1,20.2,160.5
2021,2,7.6,159.3
2021,3,16.7,170.2
2021,4,31.1,180.4
2021,5,107.8,192.5
2021,6,182.4,195.2
2021,7,266.2,197.4
2021,8,196.3,206.3
2021,9,229.6,206.2
2021,10,100.8,206.2
2021,11,56.5,195.0
2021,12,20.5,186.7
2022,1,39.5,185.9
2022,2,19.1,195.8
2022,3,8.9,214.1
2022,4,38.2,223.4
2022,5,83.2,225.3
2022,6,152.2,220.3
2022,7,327.2,206.1
2022,8,264.0,199.7
2022,9,181.4,187.6
2022,10,111.8,191.8
2022,11,18.6,192.6
2022,12,13.6,183.2
2023,1,14.8,174.5
2023,2,7.2,165.4
2023,3,37.6,155.4
2023,4,41.4,152.5
2023,5,67.5,143.2
2023,6,151.2,140.1
2023,7,315.9,151.0
2023,8,162.7,151.7
2023,9,190.0,144.7
2023,10,50.8,141.4
2023,11,34.6,142.1
2023,12,25.5,138.0
2024,1,7.2,136.4
2024,2,19.6,134.2
2024,3,28.5,140.0
2024,4,31.4,146.0
2024,5,66.0,145.5
2024,6,147.2,149.0
2024,7,305.8,150.5
2024,8,293.9,151.7
2024,9,187.3,161.7
2024,10,75.7,176.8
2024,11,13.6,181.8
2024,12,28.1,178.4
