Year,Month,Rainfall,WPI
2012,4,47.5,99.8
2012,5,31.7,105.3
2012,6,117.8,103.9
2012,7,250.2,97.7
2012,8,262.4,105.6
2012,9,193.5,108.6
2012,10,58.7,122.9
2012,11,30.7,133.9
2012,12,11.7,127.4
2013,1,11.3,117.0
2013,2,40.1,147.0
2013,3,15.7,112.1
2013,4,30.4,120.3
2013,5,57.8,136.1
2013,6,219.8,121.3
2013,7,310.0,119.6
2013,8,254.7,132.2
2013,9,152.7,145.6
2013,10,129.4,155.1
2013,11,14.0,151.7
2013,12,6.7,168.4
2014,1,19.2,148.8
2014,2,27.4,156.3
2014,3,36.1,153.0
2014,4,22.2,147.6
2014,5,72.9,136.6
2014,6,95.4,125.4
2014,7,261.2,130.6
2014,8,237.5,144.6
2014,9,188.0,146.2
2014,10,60.2,173.4
2014,11,14.4,154.2
2014,12,10.7,158.9
2015,1,17.4,143.9
2015,2,21.0,180.3
2015,3,62.0,128.3
2015,4,69.4,126.5
2015,5,53.8,134.8
2015,6,192.8,139.4
2015,7,242.4,124.3
2015,8,205.2,152.4
2015,9,131.8,148.6
2015,10,42.9,167.7
2015,11,39.4,161.8
2015,12,15.0,187.9
2016,1,19.3,184.0
2016,2,22.8,169.6
2016,3,27.6,148.1
2016,4,37.4,148.6
2016,5,62.6,141.6
2016,6,168.3,123.2
2016,7,289.1,121.9
2016,8,256.3,135.8
2016,9,171.9,139.1
2016,10,76.1,141.4
2016,11,29.7,125.1
2016,12,14.9,133.0
2017,1,19.0,141.4
2017,2,22.6,164.3
2017,3,27.8,133.3
2017,4,37.9,131.9
2017,5,62.4,157.1
2017,6,168.1,121.9
2017,7,289.3,123.5
2017,8,256.2,151.6
2017,9,171.5,144.0
2017,10,76.3,155.2
2017,11,29.9,153.3
2017,12,15.0,177.1
2018,1,19.2,175.0
2018,2,20.1,145.8
2018,3,27.1,148.4
2018,4,40.2,138.5
2018,5,62.7,146.8
2018,6,165.0,144.4
2018,7,286.3,164.3
2018,8,254.3,164.4
2018,9,171.9,180.7
2018,10,77.2,180.6
2018,11,28.1,169.4
2018,12,14.1,170.2
2019,1,18.5,190.3
2019,2,33.1,202.6
2019,3,18.7,210.6
2019,4,31.5,258.8
2019,5,51.3,251.5
2019,6,113.5,225.5
2019,7,298.8,221.2
2019,8,299.9,249.1
2019,9,259.5,192.6
2019,10,110.1,198.4
2019,11,31.6,214.6
2019,12,19.2,334.6
2020,1,28.3,243.1
2020,2,12.1,290.4
2020,3,44.7,164.9
2020,4,42.7,141.2
2020,5,71.8,126.9
2020,6,195.6,177.3
2020,7,257.1,146.1
2020,8,327.8,219.2
2020,9,178.0,199.1
2020,10,78.3,240.3
2020,11,29.2,335.2
2020,12,17.0,290.4
2021,1,20.2,195.4
2021,2,7.6,147.7
2021,3,16.7,142.5
2021,4,31.1,163.2
2021,5,107.8,122.4
2021,6,182.4,138.2
2021,7,266.2,159.7
2021,8,196.3,203.1
2021,9,229.6,213.5
2021,10,100.8,218.7
2021,11,56.5,219.0
2021,12,20.5,271.0
2022,1,39.5,245.5
2022,2,19.1,267.7
2022,3,8.9,236.9
2022,4,38.2,227.6
2022,5,83.2,227.2
2022,6,152.2,198.4
2022,7,327.2,231.3
2022,8,264.0,250.9
2022,9,181.4,244.1
2022,10,111.8,304.3
2022,11,18.6,238.3
2022,12,13.6,262.0
2023,1,14.8,294.2
2023,2,7.2,278.2
2023,3,37.6,274.8
2023,4,41.4,253.9
2023,5,67.5,257.8
2023,6,151.2,232.5
2023,7,315.9,276.9
2023,8,162.7,268.7
2023,9,190.0,277.0
2023,10,50.8,287.8
2023,11,34.6,295.1
2023,12,25.5,241.7
2024,1,7.2,246.4
2024,2,19.6,230.0
2024,3,28.5,243.5
2024,4,31.4,278.9
2024,5,66.0,275.6
2024,6,147.2,220.7
2024,7,305.8,221.3
2024,8,293.9,224.5
2024,9,187.3,199.3
2024,10,75.7,205.9
2024,11,13.6,210.1
2024,12,28.1,255.0
