Year,Month,Rainfall,WPI
2012,4,47.5,103.9
2012,5,31.7,110.9
2012,6,117.8,112.7
2012,7,250.2,116.1
2012,8,262.4,118.1
2012,9,193.5,120.3
2012,10,58.7,117.8
2012,11,30.7,114.8
2012,12,11.7,114.8
2013,1,11.3,112.8
2013,2,40.1,115.7
2013,3,15.7,115.2
2013,4,30.4,119.4
2013,5,57.8,115.9
2013,6,219.8,118.9
2013,7,310.0,118.9
2013,8,254.7,114.6
2013,9,152.7,112.8
2013,10,129.4,112.3
2013,11,14.0,112.7
2013,12,6.7,112.1
2014,1,19.2,108.2
2014,2,27.4,107.1
2014,3,36.1,112.0
2014,4,22.2,125.4
2014,5,72.9,124.5
2014,6,95.4,93.2
2014,7,261.2,94.8
2014,8,237.5,94.1
2014,9,188.0,94.3
2014,10,60.2,93.0
2014,11,14.4,92.3
2014,12,10.7,93.4
2015,1,17.4,93.7
2015,2,21.0,94.8
2015,3,62.0,94.5
2015,4,69.4,104.2
2015,5,53.8,110.1
2015,6,192.8,108.1
2015,7,242.4,105.8
2015,8,205.2,107.4
2015,9,131.8,105.3
2015,10,42.9,105.0
2015,11,39.4,105.9
2015,12,15.0,106.4
2016,1,19.3,109.0
2016,2,22.8,111.1
2016,3,27.6,110.1
2016,4,37.4,108.9
2016,5,62.6,115.5
2016,6,168.3,111.8
2016,7,289.1,111.4
2016,8,256.3,112.0
2016,9,171.9,112.9
2016,10,76.1,113.5
2016,11,29.7,112.3
2016,12,14.9,113.9
2017,1,19.0,114.1
2017,2,22.6,117.0
2017,3,27.8,124.8
2017,4,37.9,126.0
2017,5,62.4,127.8
2017,6,168.1,129.3
2017,7,289.3,134.1
2017,8,256.2,139.3
2017,9,171.5,140.2
2017,10,76.3,137.2
2017,11,29.9,135.6
2017,12,15.0,133.2
2018,1,19.2,138.8
2018,2,20.1,139.2
2018,3,27.1,139.0
2018,4,40.2,137.8
2018,5,62.7,134.6
2018,6,165.0,137.8
2018,7,286.3,134.8
2018,8,254.3,136.0
2018,9,171.9,139.3
2018,10,77.2,143.5
2018,11,28.1,150.5
2018,12,14.1,155.5
2019,1,18.5,155.3
2019,2,33.1,157.5
2019,3,18.7,156.8
2019,4,31.5,167.6
2019,5,51.3,178.1
2019,6,113.5,183.0
2019,7,298.8,181.2
2019,8,299.9,187.2
2019,9,259.5,187.9
2019,10,110.1,194.8
2019,11,31.6,196.0
2019,12,19.2,196.3
2020,1,28.3,200.3
2020,2,12.1,186.7
2020,3,44.7,164.5
2020,4,42.7,155.6
2020,5,71.8,157.2
2020,6,195.6,160.2
2020,7,257.1,162.4
2020,8,327.8,162.7
2020,9,178.0,157.4
2020,10,78.3,161.6
2020,11,29.2,163.4
2020,12,17.0,164.9
2021,1,20.2,167.2
2021,2,7.6,169.4
2021,3,16.7,164.9
2021,4,31.1,177.0
2021,5,107.8,179.8
2021,6,182.4,181.8
2021,7,266.2,183.8
2021,8,196.3,188.4
2021,9,229.6,193.8
2021,10,100.8,193.9
2021,11,56.5,203.9
2021,12,20.5,206.4
2022,1,39.5,217.6
2022,2,19.1,209.9
2022,3,8.9,225.4
2022,4,38.2,229.6
2022,5,83.2,212.3
2022,6,152.2,195.1
2022,7,327.2,199.3
2022,8,264.0,203.5
2022,9,181.4,208.2
2022,10,111.8,204.0
2022,11,18.6,208.5
2022,12,13.6,212.9
2023,1,14.8,208.2
2023,2,7.2,197.8
2023,3,37.6,194.0
2023,4,41.4,181.4
2023,5,67.5,175.6
2023,6,151.2,176.8
2023,7,315.9,168.6
2023,8,162.7,167.8
2023,9,190.0,172.8
2023,10,50.8,165.1
2023,11,34.6,174.7
2023,12,25.5,186.0
2024,1,7.2,183.4
2024,2,19.6,178.8
2024,3,28.5,188.8
2024,4,31.4,182.3
2024,5,66.0,169.9
2024,6,147.2,175.0
2024,7,305.8,167.7
2024,8,293.9,173.3
2024,9,187.3,183.4
2024,10,75.7,189.1
2024,11,13.6,194.6
2024,12,28.1,196.0
