Year,Month,Rainfall,WPI
2012,4,47.5,105.9
2012,5,31.7,103.5
2012,6,117.8,104.8
2012,7,250.2,112.8
2012,8,262.4,114.5
2012,9,193.5,113.8
2012,10,58.7,114.9
2012,11,30.7,133.9
2012,12,11.7,133.0
2013,1,11.3,117.0
2013,2,40.1,113.2
2013,3,15.7,112.2
2013,4,30.4,118.4
2013,5,57.8,92.5
2013,6,219.8,79.4
2013,7,310.0,100.3
2013,8,254.7,120.6
2013,9,152.7,114.8
2013,10,129.4,122.8
2013,11,14.0,128.2
2013,12,6.7,129.6
2014,1,19.2,119.1
2014,2,27.4,111.6
2014,3,36.1,105.8
2014,4,22.2,105.0
2014,5,72.9,103.6
2014,6,95.4,99.4
2014,7,261.2,111.8
2014,8,237.5,133.8
2014,9,188.0,129.8
2014,10,60.2,129.2
2014,11,14.4,128.0
2014,12,10.7,122.6
2015,1,17.4,97.6
2015,2,21.0,102.1
2015,3,62.0,116.8
2015,4,69.4,103.8
2015,5,53.8,91.8
2015,6,192.8,93.7
2015,7,242.4,104.5
2015,8,205.2,98.6
2015,9,131.8,101.5
2015,10,42.9,120.1
2015,11,39.4,128.0
2015,12,15.0,110.7
2016,1,19.3,108.3
2016,2,22.8,92.9
2016,3,27.6,91.1
2016,4,37.4,96.4
2016,5,62.6,92.5
2016,6,168.3,96.6
2016,7,289.1,100.7
2016,8,256.3,113.1
2016,9,171.9,130.5
2016,10,76.1,138.6
2016,11,29.7,138.2
2016,12,14.9,101.0
2017,1,19.0,94.3
2017,2,22.6,93.3
2017,3,27.8,88.6
2017,4,37.9,90.8
2017,5,62.4,83.7
2017,6,168.1,88.7
2017,7,289.3,120.1
2017,8,256.2,129.2
2017,9,171.5,128.3
2017,10,76.3,134.6
2017,11,29.9,144.1
2017,12,15.0,126.1
2018,1,19.2,120.1
2018,2,20.1,113.1
2018,3,27.1,111.0
2018,4,40.2,109.7
2018,5,62.7,129.5
2018,6,165.0,154.9
2018,7,286.3,151.7
2018,8,254.3,146.0
2018,9,171.9,161.3
2018,10,77.2,225.3
2018,11,28.1,186.0
2018,12,14.1,144.9
2019,1,18.5,122.8
2019,2,33.1,129.6
2019,3,18.7,126.6
2019,4,31.5,125.0
2019,5,51.3,132.1
2019,6,113.5,150.6
2019,7,298.8,180.1
2019,8,299.9,178.6
2019,9,259.5,171.0
2019,10,110.1,187.5
2019,11,31.6,204.0
2019,12,19.2,187.0
2020,1,28.3,158.2
2020,2,12.1,144.8
2020,3,44.7,136.3
2020,4,42.7,131.1
2020,5,71.8,129.5
2020,6,195.6,140.6
2020,7,257.1,137.5
2020,8,327.8,145.7
2020,9,178.0,151.2
2020,10,78.3,155.2
2020,11,29.2,155.5
2020,12,17.0,159.9
2021,1,20.2,160.5
2021,2,7.6,155.5
2021,3,16.7,149.6
2021,4,31.1,149.2
2021,5,107.8,145.0
2021,6,182.4,151.9
2021,7,266.2,156.5
2021,8,196.3,169.9
2021,9,229.6,176.8
2021,10,100.8,193.1
2021,11,56.5,198.8
2021,12,20.5,158.0
2022,1,39.5,167.1
2022,2,19.1,157.5
2022,3,8.9,150.7
2022,4,38.2,166.0
2022,5,83.2,160.8
2022,6,152.2,201.1
2022,7,327.2,246.1
2022,8,264.0,247.5
2022,9,181.4,239.1
2022,10,111.8,284.1
2022,11,18.6,271.6
2022,12,13.6,205.8
2023,1,14.8,188.1
2023,2,7.2,198.0
2023,3,37.6,183.4
2023,4,41.4,166.7
2023,5,67.5,178.2
2023,6,151.2,228.8
2023,7,315.9,255.3
2023,8,162.7,249.1
2023,9,190.0,224.4
2023,10,50.8,211.6
2023,11,34.6,216.3
2023,12,25.5,186.3
2024,1,7.2,182.9
2024,2,19.6,175.4
2024,3,28.5,180.0
2024,4,31.4,181.2
2024,5,66.0,172.5
2024,6,147.2,166.7
2024,7,305.8,178.7
2024,8,293.9,173.0
2024,9,187.3,192.9
2024,10,75.7,199.7
2024,11,13.6,223.5
2024,12,28.1,240.8
