Year,Month,Rainfall,WPI
2012,4,47.5,131.0
2012,5,31.7,139.6
2012,6,117.8,144.8
2012,7,250.2,182.7
2012,8,262.4,183.8
2012,9,193.5,166.2
2012,10,58.7,134.2
2012,11,30.7,140.1
2012,12,11.7,142.6
2013,1,11.3,139.0
2013,2,40.1,137.7
2013,3,15.7,150.9
2013,4,30.4,163.0
2013,5,57.8,164.4
2013,6,219.8,156.7
2013,7,310.0,153.5
2013,8,254.7,148.0
2013,9,152.7,148.1
2013,10,129.4,147.0
2013,11,14.0,160.3
2013,12,6.7,160.1
2014,1,19.2,157.8
2014,2,27.4,162.0
2014,3,36.1,169.5
2014,4,22.2,175.6
2014,5,72.9,188.5
2014,6,95.4,175.5
2014,7,261.2,175.9
2014,8,237.5,162.4
2014,9,188.0,141.8
2014,10,60.2,131.6
2014,11,14.4,135.0
2014,12,10.7,140.8
2015,1,17.4,144.6
2015,2,21.0,142.2
2015,3,62.0,141.3
2015,4,69.4,145.5
2015,5,53.8,166.2
2015,6,192.8,155.6
2015,7,242.4,147.1
2015,8,205.2,139.2
2015,9,131.8,139.2
2015,10,42.9,156.9
2015,11,39.4,158.3
2015,12,15.0,152.2
2016,1,19.3,151.3
2016,2,22.8,150.2
2016,3,27.6,151.4
2016,4,37.4,167.5
2016,5,62.6,162.4
2016,6,168.3,165.1
2016,7,289.1,158.7
2016,8,256.3,156.3
2016,9,171.9,149.3
2016,10,76.1,132.3
2016,11,29.7,126.2
2016,12,14.9,128.9
2017,1,19.0,127.8
2017,2,22.6,126.0
2017,3,27.8,124.9
2017,4,37.9,126.8
2017,5,62.4,123.4
2017,6,168.1,121.2
2017,7,289.3,121.6
2017,8,256.2,122.8
2017,9,171.5,124.8
2017,10,76.3,126.0
2017,11,29.9,122.2
2017,12,15.0,125.3
2018,1,19.2,136.6
2018,2,20.1,152.2
2018,3,27.1,156.0
2018,4,40.2,157.5
2018,5,62.7,155.9
2018,6,165.0,153.1
2018,7,286.3,150.1
2018,8,254.3,147.1
2018,9,171.9,142.9
2018,10,77.2,140.2
2018,11,28.1,141.6
2018,12,14.1,143.9
2019,1,18.5,151.5
2019,2,33.1,159.8
2019,3,18.7,157.5
2019,4,31.5,162.3
2019,5,51.3,159.1
2019,6,113.5,161.8
2019,7,298.8,156.9
2019,8,299.9,157.8
2019,9,259.5,164.9
2019,10,110.1,160.8
2019,11,31.6,161.8
2019,12,19.2,172.5
2020,1,28.3,181.8
2020,2,12.1,171.6
2020,3,44.7,157.2
2020,4,42.7,156.5
2020,5,71.8,164.1
2020,6,195.6,164.1
2020,7,257.1,160.9
2020,8,327.8,163.5
2020,9,178.0,164.5
2020,10,78.3,168.7
2020,11,29.2,174.6
2020,12,17.0,178.3
2021,1,20.2,188.0
2021,2,7.6,194.4
2021,3,16.7,217.7
2021,4,31.1,244.6
2021,5,107.8,276.5
2021,6,182.4,282.6
2021,7,266.2,299.0
2021,8,196.3,358.4
2021,9,229.6,337.1
2021,10,100.8,230.6
2021,11,56.5,234.6
2021,12,20.5,258.1
2022,1,39.5,263.7
2022,2,19.1,275.7
2022,3,8.9,308.2
2022,4,38.2,311.3
2022,5,83.2,297.7
2022,6,152.2,287.5
2022,7,327.2,261.5
2022,8,264.0,258.3
2022,9,181.4,226.9
2022,10,111.8,208.0
2022,11,18.6,235.2
2022,12,13.6,234.6
2023,1,14.8,237.9
2023,2,7.2,234.6
2023,3,37.6,225.8
2023,4,41.4,228.2
2023,5,67.5,224.8
2023,6,151.2,221.5
2023,7,315.9,219.8
2023,8,162.7,216.2
2023,9,190.0,213.1
2023,10,50.8,202.6
2023,11,34.6,214.5
2023,12,25.5,213.3
2024,1,7.2,210.8
2024,2,19.6,202.9
2024,3,28.5,204.1
2024,4,31.4,208.0
2024,5,66.0,205.6
2024,6,147.2,205.2
2024,7,305.8,204.0
2024,8,293.9,197.1
2024,9,187.3,207.0
2024,10,75.7,199.3
2024,11,13.6,198.6
2024,12,28.1,191.9
