Year,Month,Rainfall,WPI
2012,4,47.5,108.3
2012,5,31.7,109.0
2012,6,117.8,107.1
2012,7,250.2,113.5
2012,8,262.4,115.2
2012,9,193.5,116.0
2012,10,58.7,109.4
2012,11,30.7,110.2
2012,12,11.7,110.8
2013,1,11.3,111.1
2013,2,40.1,112.1
2013,3,15.7,107.5
2013,4,30.4,108.1
2013,5,57.8,109.1
2013,6,219.8,107.5
2013,7,310.0,108.3
2013,8,254.7,107.4
2013,9,152.7,106.7
2013,10,129.4,107.5
2013,11,14.0,107.2
2013,12,6.7,105.8
2014,1,19.2,106.1
2014,2,27.4,105.8
2014,3,36.1,107.4
2014,4,22.2,106.9
2014,5,72.9,106.6
2014,6,95.4,105.1
2014,7,261.2,104.8
2014,8,237.5,103.9
2014,9,188.0,101.2
2014,10,60.2,101.5
2014,11,14.4,99.2
2014,12,10.7,98.3
2015,1,17.4,102.6
2015,2,21.0,102.1
2015,3,62.0,100.0
2015,4,69.4,98.9
2015,5,53.8,98.0
2015,6,192.8,97.0
2015,7,242.4,98.0
2015,8,205.2,95.9
2015,9,131.8,96.9
2015,10,42.9,97.3
2015,11,39.4,98.6
2015,12,15.0,100.5
2016,1,19.3,100.8
2016,2,22.8,99.9
2016,3,27.6,99.7
2016,4,37.4,101.4
2016,5,62.6,102.0
2016,6,168.3,101.8
2016,7,289.1,102.4
2016,8,256.3,102.7
2016,9,171.9,103.8
2016,10,76.1,105.4
2016,11,29.7,106.7
2016,12,14.9,107.8
2017,1,19.0,108.1
2017,2,22.6,106.2
2017,3,27.8,105.4
2017,4,37.9,103.0
2017,5,62.4,102.6
2017,6,168.1,103.4
2017,7,289.3,103.1
2017,8,256.2,103.6
2017,9,171.5,105.8
2017,10,76.3,105.2
2017,11,29.9,105.8
2017,12,15.0,106.1
2018,1,19.2,110.7
2018,2,20.1,111.3
2018,3,27.1,112.6
2018,4,40.2,114.4
2018,5,62.7,112.6
2018,6,165.0,111.6
2018,7,286.3,112.0
2018,8,254.3,111.7
2018,9,171.9,111.4
2018,10,77.2,112.6
2018,11,28.1,111.8
2018,12,14.1,111.1
2019,1,18.5,112.7
2019,2,33.1,113.5
2019,3,18.7,112.5
2019,4,31.5,111.6
2019,5,51.3,111.4
2019,6,113.5,111.5
2019,7,298.8,110.8
2019,8,299.9,111.2
2019,9,259.5,111.6
2019,10,110.1,112.3
2019,11,31.6,113.7
2019,12,19.2,117.6
2020,1,28.3,121.7
2020,2,12.1,121.3
2020,3,44.7,118.2
2020,4,42.7,119.3
2020,5,71.8,116.4
2020,6,195.6,115.3
2020,7,257.1,118.1
2020,8,327.8,120.6
2020,9,178.0,123.6
2020,10,78.3,128.6
2020,11,29.2,137.7
2020,12,17.0,146.3
2021,1,20.2,151.6
2021,2,7.6,153.5
2021,3,16.7,161.9
2021,4,31.1,173.0
2021,5,107.8,183.5
2021,6,182.4,180.9
2021,7,266.2,179.6
2021,8,196.3,182.9
2021,9,229.6,188.0
2021,10,100.8,180.6
2021,11,56.5,174.8
2021,12,20.5,170.2
2022,1,39.5,170.2
2022,2,19.1,178.1
2022,3,8.9,196.1
2022,4,38.2,201.6
2022,5,83.2,206.3
2022,6,152.2,198.6
2022,7,327.2,179.9
2022,8,264.0,175.9
2022,9,181.4,168.1
2022,10,111.8,171.9
2022,11,18.6,181.4
2022,12,13.6,174.5
2023,1,14.8,171.5
2023,2,7.2,163.8
2023,3,37.6,151.1
2023,4,41.4,147.6
2023,5,67.5,137.0
2023,6,151.2,129.9
2023,7,315.9,134.4
2023,8,162.7,134.2
2023,9,190.0,128.0
2023,10,50.8,124.2
2023,11,34.6,128.6
2023,12,25.5,127.4
2024,1,7.2,124.6
2024,2,19.6,124.8
2024,3,28.5,130.1
2024,4,31.4,130.2
2024,5,66.0,129.3
2024,6,147.2,131.1
2024,7,305.8,132.8
2024,8,293.9,131.2
2024,9,187.3,142.2
2024,10,75.7,162.9
2024,11,13.6,170.7
2024,12,28.1,171.6
