Year,Month,Rainfall,WPI
2012,4,47.5,100.0
2012,5,31.7,100.0
2012,6,117.8,103.9
2012,7,250.2,101.2
2012,8,262.4,104.9
2012,9,193.5,104.9
2012,10,58.7,104.9
2012,11,30.7,104.9
2012,12,11.7,104.9
2013,1,11.3,104.9
2013,2,40.1,104.9
2013,3,15.7,104.9
2013,4,30.4,104.9
2013,5,57.8,104.9
2013,6,219.8,104.9
2013,7,310.0,104.9
2013,8,254.7,104.9
2013,9,152.7,104.9
2013,10,129.4,109.4
2013,11,14.0,124.3
2013,12,6.7,124.3
2014,1,19.2,124.3
2014,2,27.4,124.3
2014,3,36.1,124.3
2014,4,22.2,124.3
2014,5,72.9,124.3
2014,6,95.4,124.3
2014,7,261.2,124.3
2014,8,237.5,124.3
2014,9,188.0,124.3
2014,10,60.2,124.3
2014,11,14.4,124.3
2014,12,10.7,124.3
2015,1,17.4,124.3
2015,2,21.0,124.3
2015,3,62.0,124.3
2015,4,69.4,150.3
2015,5,53.8,150.3
2015,6,192.8,150.3
2015,7,242.4,150.3
2015,8,205.2,150.3
2015,9,131.8,150.3
2015,10,42.9,150.3
2015,11,39.4,150.3
2015,12,15.0,150.3
2016,1,19.3,159.7
2016,2,22.8,159.7
2016,3,27.6,159.7
2016,4,37.4,159.7
2016,5,62.6,159.7
2016,6,168.3,159.7
2016,7,289.1,159.7
2016,8,256.3,159.7
2016,9,171.9,159.7
2016,10,76.1,164.4
2016,11,29.7,167.6
2016,12,14.9,167.6
2017,1,19.0,167.6
2017,2,22.6,167.6
2017,3,27.8,167.6
2017,4,37.9,167.6
2017,5,62.4,167.6
2017,6,168.1,167.6
2017,7,289.3,167.6
2017,8,256.2,167.6
2017,9,171.5,167.6
2017,10,76.3,167.6
2017,11,29.9,169.5
2017,12,15.0,169.5
2018,1,19.2,169.5
2018,2,20.1,169.5
2018,3,27.1,169.5
2018,4,40.2,169.5
2018,5,62.7,169.5
2018,6,165.0,169.5
2018,7,286.3,169.5
2018,8,254.3,169.5
2018,9,171.9,169.5
2018,10,77.2,169.5
2018,11,28.1,169.5
2018,12,14.1,169.5
2019,1,18.5,169.5
2019,2,33.1,169.5
2019,3,18.7,169.5
2019,4,31.5,169.5
2019,5,51.3,169.5
2019,6,113.5,169.5
2019,7,298.8,169.5
2019,8,299.9,169.5
2019,9,259.5,169.5
2019,10,110.1,169.5
2019,11,31.6,169.5
2019,12,19.2,169.5
2020,1,28.3,169.5
2020,2,12.1,169.5
2020,3,44.7,169.5
2020,4,42.7,169.5
2020,5,71.8,169.5
2020,6,195.6,169.5
2020,7,257.1,189.4
2020,8,327.8,189.4
2020,9,178.0,189.4
2020,10,78.3,189.4
2020,11,29.2,189.4
2020,12,17.0,189.4
2021,1,20.2,189.4
2021,2,7.6,196.3
2021,3,16.7,196.3
2021,4,31.1,196.3
2021,5,107.8,196.3
2021,6,182.4,196.3
2021,7,266.2,196.3
2021,8,196.3,196.3
2021,9,229.6,196.3
2021,10,100.8,196.3
2021,11,56.5,199.8
2021,12,20.5,199.8
2022,1,39.5,199.8
2022,2,19.1,199.8
2022,3,8.9,199.8
2022,4,38.2,199.8
2022,5,83.2,199.8
2022,6,152.2,199.8
2022,7,327.2,199.8
2022,8,264.0,199.8
2022,9,181.4,199.8
2022,10,111.8,210.1
2022,11,18.6,210.1
2022,12,13.6,210.1
2023,1,14.8,210.1
2023,2,7.2,210.1
2023,3,37.6,210.1
2023,4,41.4,210.1
2023,5,67.5,210.1
2023,6,151.2,210.1
2023,7,315.9,210.1
2023,8,162.7,210.1
2023,9,190.0,210.1
2023,10,50.8,217.0
2023,11,34.6,217.0
2023,12,25.5,217.0
2024,1,7.2,217.0
2024,2,19.6,217.0
2024,3,28.5,217.0
2024,4,31.4,217.0
2024,5,66.0,217.0
2024,6,147.2,217.0
2024,7,305.8,217.0
2024,8,293.9,217.0
2024,9,187.3,217.0
2024,10,75.7,234.2
2024,11,13.6,234.2
2024,12,28.1,234.2
