Year,Month,Rainfall,WPI
2012,4,47.5,101.9
2012,5,31.7,101.7
2012,6,117.8,104.8
2012,7,250.2,112.8
2012,8,262.4,118.4
2012,9,193.5,113.7
2012,10,58.7,115.3
2012,11,30.7,117.4
2012,12,11.7,116.0
2013,1,11.3,115.0
2013,2,40.1,116.1
2013,3,15.7,111.1
2013,4,30.4,111.9
2013,5,57.8,111.8
2013,6,219.8,118.0
2013,7,310.0,112.3
2013,8,254.7,121.9
2013,9,152.7,117.6
2013,10,129.4,114.4
2013,11,14.0,112.1
2013,12,6.7,114.5
2014,1,19.2,110.4
2014,2,27.4,112.2
2014,3,36.1,114.5
2014,4,22.2,109.9
2014,5,72.9,108.8
2014,6,95.4,111.1
2014,7,261.2,106.6
2014,8,237.5,110.4
2014,9,188.0,108.2
2014,10,60.2,110.1
2014,11,14.4,107.3
2014,12,10.7,107.2
2015,1,17.4,108.0
2015,2,21.0,109.8
2015,3,62.0,106.9
2015,4,69.4,105.8
2015,5,53.8,110.2
2015,6,192.8,109.4
2015,7,242.4,109.0
2015,8,205.2,112.6
2015,9,131.8,116.4
2015,10,42.9,117.1
2015,11,39.4,119.1
2015,12,15.0,119.7
2016,1,19.3,118.5
2016,2,22.8,118.1
2016,3,27.6,118.1
2016,4,37.4,115.5
2016,5,62.6,114.3
2016,6,168.3,112.7
2016,7,289.1,112.5
2016,8,256.3,112.0
2016,9,171.9,113.5
2016,10,76.1,113.0
2016,11,29.7,110.1
2016,12,14.9,109.4
2017,1,19.0,110.0
2017,2,22.6,108.5
2017,3,27.8,106.8
2017,4,37.9,104.2
2017,5,62.4,102.6
2017,6,168.1,98.3
2017,7,289.3,96.8
2017,8,256.2,94.5
2017,9,171.5,98.4
2017,10,76.3,99.1
2017,11,29.9,99.2
2017,12,15.0,100.2
2018,1,19.2,99.8
2018,2,20.1,100.6
2018,3,27.1,104.4
2018,4,40.2,107.2
2018,5,62.7,98.9
2018,6,165.0,101.3
2018,7,286.3,104.8
2018,8,254.3,105.9
2018,9,171.9,111.4
2018,10,77.2,116.6
2018,11,28.1,117.5
2018,12,14.1,118.2
2019,1,18.5,119.7
2019,2,33.1,127.4
2019,3,18.7,122.9
2019,4,31.5,120.8
2019,5,51.3,121.9
2019,6,113.5,120.9
2019,7,298.8,117.5
2019,8,299.9,121.5
2019,9,259.5,120.5
2019,10,110.1,121.6
2019,11,31.6,121.5
2019,12,19.2,124.3
2020,1,28.3,124.2
2020,2,12.1,123.6
2020,3,44.7,114.8
2020,4,42.7,109.8
2020,5,71.8,107.6
2020,6,195.6,115.1
2020,7,257.1,116.0
2020,8,327.8,120.1
2020,9,178.0,126.0
2020,10,78.3,129.3
2020,11,29.2,125.7
2020,12,17.0,127.0
2021,1,20.2,142.5
2021,2,7.6,161.5
2021,3,16.7,174.0
2021,4,31.1,169.8
2021,5,107.8,176.4
2021,6,182.4,160.2
2021,7,266.2,169.5
2021,8,196.3,184.1
2021,9,229.6,174.9
2021,10,100.8,171.5
2021,11,56.5,163.8
2021,12,20.5,169.4
2022,1,39.5,169.5
2022,2,19.1,182.6
2022,3,8.9,202.6
2022,4,38.2,198.9
2022,5,83.2,190.2
2022,6,152.2,187.7
2022,7,327.2,180.0
2022,8,264.0,184.4
2022,9,181.4,180.0
2022,10,111.8,166.5
2022,11,18.6,171.4
2022,12,13.6,165.1
2023,1,14.8,163.9
2023,2,7.2,165.9
2023,3,37.6,153.0
2023,4,41.4,149.9
2023,5,67.5,141.8
2023,6,151.2,137.1
2023,7,315.9,141.4
2023,8,162.7,152.5
2023,9,190.0,152.1
2023,10,50.8,145.0
2023,11,34.6,141.3
2023,12,25.5,137.1
2024,1,7.2,131.9
2024,2,19.6,127.3
2024,3,28.5,124.7
2024,4,31.4,123.6
2024,5,66.0,121.3
2024,6,147.2,121.5
2024,7,305.8,124.3
2024,8,293.9,126.5
2024,9,187.3,132.7
2024,10,75.7,139.2
2024,11,13.6,139.9
2024,12,28.1,142.6
