Year,Month,Rainfall,WPI
2012,4,47.5,102.2
2012,5,31.7,102.0
2012,6,117.8,101.0
2012,7,250.2,105.5
2012,8,262.4,106.2
2012,9,193.5,107.0
2012,10,58.7,105.7
2012,11,30.7,106.2
2012,12,11.7,106.2
2013,1,11.3,108.3
2013,2,40.1,109.3
2013,3,15.7,107.1
2013,4,30.4,107.5
2013,5,57.8,107.1
2013,6,219.8,110.5
2013,7,310.0,108.2
2013,8,254.7,110.2
2013,9,152.7,110.6
2013,10,129.4,109.6
2013,11,14.0,108.6
2013,12,6.7,103.7
2014,1,19.2,100.9
2014,2,27.4,101.2
2014,3,36.1,100.5
2014,4,22.2,101.2
2014,5,72.9,97.4
2014,6,95.4,96.9
2014,7,261.2,96.3
2014,8,237.5,95.3
2014,9,188.0,91.7
2014,10,60.2,92.9
2014,11,14.4,93.2
2014,12,10.7,93.6
2015,1,17.4,95.9
2015,2,21.0,95.8
2015,3,62.0,94.1
2015,4,69.4,94.7
2015,5,53.8,99.1
2015,6,192.8,99.6
2015,7,242.4,99.3
2015,8,205.2,98.5
2015,9,131.8,102.0
2015,10,42.9,105.9
2015,11,39.4,103.3
2015,12,15.0,104.7
2016,1,19.3,104.2
2016,2,22.8,102.8
2016,3,27.6,101.3
2016,4,37.4,105.4
2016,5,62.6,104.7
2016,6,168.3,104.0
2016,7,289.1,104.0
2016,8,256.3,103.6
2016,9,171.9,105.5
2016,10,76.1,105.3
2016,11,29.7,105.1
2016,12,14.9,106.8
2017,1,19.0,106.4
2017,2,22.6,105.6
2017,3,27.8,103.9
2017,4,37.9,102.5
2017,5,62.4,101.8
2017,6,168.1,101.4
2017,7,289.3,102.4
2017,8,256.2,101.9
2017,9,171.5,102.1
2017,10,76.3,101.7
2017,11,29.9,102.7
2017,12,15.0,105.0
2018,1,19.2,105.8
2018,2,20.1,106.3
2018,3,27.1,107.4
2018,4,40.2,107.4
2018,5,62.7,108.3
2018,6,165.0,109.2
2018,7,286.3,109.8
2018,8,254.3,110.6
2018,9,171.9,111.7
2018,10,77.2,111.4
2018,11,28.1,110.3
2018,12,14.1,110.0
2019,1,18.5,110.4
2019,2,33.1,110.5
2019,3,18.7,109.4
2019,4,31.5,108.7
2019,5,51.3,108.5
2019,6,113.5,109.4
2019,7,298.8,110.5
2019,8,299.9,112.4
2019,9,259.5,112.4
2019,10,110.1,112.4
2019,11,31.6,113.2
2019,12,19.2,116.0
2020,1,28.3,116.2
2020,2,12.1,114.1
2020,3,44.7,112.8
2020,4,42.7,115.1
2020,5,71.8,116.3
2020,6,195.6,119.2
2020,7,257.1,119.6
2020,8,327.8,121.6
2020,9,178.0,130.1
2020,10,78.3,134.2
2020,11,29.2,138.0
2020,12,17.0,145.2
2021,1,20.2,150.9
2021,2,7.6,157.6
2021,3,16.7,165.6
2021,4,31.1,172.4
2021,5,107.8,175.0
2021,6,182.4,162.8
2021,7,266.2,161.6
2021,8,196.3,160.5
2021,9,229.6,161.3
2021,10,100.8,160.2
2021,11,56.5,153.4
2021,12,20.5,152.2
2022,1,39.5,152.3
2022,2,19.1,156.4
2022,3,8.9,173.0
2022,4,38.2,181.8
2022,5,83.2,184.1
2022,6,152.2,180.9
2022,7,327.2,175.1
2022,8,264.0,170.1
2022,9,181.4,162.9
2022,10,111.8,165.7
2022,11,18.6,166.9
2022,12,13.6,160.8
2023,1,14.8,155.6
2023,2,7.2,147.3
2023,3,37.6,140.7
2023,4,41.4,134.7
2023,5,67.5,128.5
2023,6,151.2,126.2
2023,7,315.9,127.8
2023,8,162.7,127.3
2023,9,190.0,123.7
2023,10,50.8,123.5
2023,11,34.6,126.4
2023,12,25.5,125.1
2024,1,7.2,125.3
2024,2,19.6,127.0
2024,3,28.5,127.9
2024,4,31.4,126.8
2024,5,66.0,127.6
2024,6,147.2,128.6
2024,7,305.8,129.0
2024,8,293.9,129.2
2024,9,187.3,140.4
2024,10,75.7,150.7
2024,11,13.6,155.0
2024,12,28.1,156.6
