Year,Month,Rainfall,WPI
2012,4,47.5,106.6
2012,5,31.7,116.9
2012,6,117.8,111.2
2012,7,250.2,109.8
2012,8,262.4,84.5
2012,9,193.5,92.1
2012,10,58.7,107.9
2012,11,30.7,107.2
2012,12,11.7,104.6
2013,1,11.3,93.7
2013,2,40.1,73.8
2013,3,15.7,95.6
2013,4,30.4,107.7
2013,5,57.8,125.2
2013,6,219.8,135.6
2013,7,310.0,125.9
2013,8,254.7,102.6
2013,9,152.7,100.4
2013,10,129.4,110.1
2013,11,14.0,108.8
2013,12,6.7,103.8
2014,1,19.2,93.4
2014,2,27.4,84.8
2014,3,36.1,94.2
2014,4,22.2,112.2
2014,5,72.9,129.1
2014,6,95.4,142.5
2014,7,261.2,134.8
2014,8,237.5,115.2
2014,9,188.0,109.9
2014,10,60.2,115.2
2014,11,14.4,99.3
2014,12,10.7,97.1
2015,1,17.4,109.4
2015,2,21.0,108.1
2015,3,62.0,113.6
2015,4,69.4,108.0
2015,5,53.8,122.3
2015,6,192.8,116.3
2015,7,242.4,112.2
2015,8,205.2,112.2
2015,9,131.8,112.2
2015,10,42.9,112.2
2015,11,39.4,112.2
2015,12,15.0,112.2
2016,1,19.3,112.2
2016,2,22.8,112.2
2016,3,27.6,112.2
2016,4,37.4,146.4
2016,5,62.6,133.0
2016,6,168.3,156.9
2016,7,289.1,131.4
2016,8,256.3,126.6
2016,9,171.9,134.3
2016,10,76.1,151.1
2016,11,29.7,163.9
2016,12,14.9,156.9
2017,1,19.0,143.4
2017,2,22.6,134.3
2017,3,27.8,133.0
2017,4,37.9,125.3
2017,5,62.4,119.9
2017,6,168.1,116.9
2017,7,289.3,115.2
2017,8,256.2,110.5
2017,9,171.5,111.5
2017,10,76.3,115.8
2017,11,29.9,110.7
2017,12,15.0,110.6
2018,1,19.2,104.0
2018,2,20.1,109.3
2018,3,27.1,114.9
2018,4,40.2,127.9
2018,5,62.7,142.4
2018,6,165.0,154.9
2018,7,286.3,142.6
2018,8,254.3,121.9
2018,9,171.9,109.0
2018,10,77.2,109.2
2018,11,28.1,113.3
2018,12,14.1,118.0
2019,1,18.5,117.3
2019,2,33.1,119.9
2019,3,18.7,125.9
2019,4,31.5,146.3
2019,5,51.3,160.8
2019,6,113.5,160.7
2019,7,298.8,160.6
2019,8,299.9,152.5
2019,9,259.5,165.8
2019,10,110.1,171.3
2019,11,31.6,191.4
2019,12,19.2,179.8
2020,1,28.3,159.8
2020,2,12.1,134.8
2020,3,44.7,127.0
2020,4,42.7,128.0
2020,5,71.8,125.8
2020,6,195.6,134.4
2020,7,257.1,135.6
2020,8,327.8,137.5
2020,9,178.0,138.8
2020,10,78.3,138.5
2020,11,29.2,146.9
2020,12,17.0,143.3
2021,1,20.2,155.4
2021,2,7.6,167.4
2021,3,16.7,177.4
2021,4,31.1,187.8
2021,5,107.8,188.8
2021,6,182.4,205.5
2021,7,266.2,171.1
2021,8,196.3,156.9
2021,9,229.6,145.0
2021,10,100.8,150.0
2021,11,56.5,147.6
2021,12,20.5,149.4
2022,1,39.5,140.1
2022,2,19.1,150.6
2022,3,8.9,165.1
2022,4,38.2,187.2
2022,5,83.2,193.2
2022,6,152.2,194.3
2022,7,327.2,181.4
2022,8,264.0,160.0
2022,9,181.4,152.5
2022,10,111.8,156.2
2022,11,18.6,169.7
2022,12,13.6,175.7
2023,1,14.8,180.3
2023,2,7.2,177.7
2023,3,37.6,168.7
2023,4,41.4,170.1
2023,5,67.5,166.3
2023,6,151.2,167.2
2023,7,315.9,166.1
2023,8,162.7,156.2
2023,9,190.0,151.7
2023,10,50.8,154.8
2023,11,34.6,164.9
2023,12,25.5,169.6
2024,1,7.2,156.4
2024,2,19.6,155.6
2024,3,28.5,153.3
2024,4,31.4,176.4
2024,5,66.0,179.3
2024,6,147.2,183.4
2024,7,305.8,176.5
2024,8,293.9,169.4
2024,9,187.3,166.6
2024,10,75.7,175.4
2024,11,13.6,184.7
2024,12,28.1,186.8
