Year,Month,Rainfall,WPI
2012,4,47.5,106.9
2012,5,31.7,107.8
2012,6,117.8,103.8
2012,7,250.2,107.9
2012,8,262.4,107.0
2012,9,193.5,111.9
2012,10,58.7,113.6
2012,11,30.7,116.7
2012,12,11.7,93.7
2013,1,11.3,78.1
2013,2,40.1,77.7
2013,3,15.7,77.6
2013,4,30.4,77.5
2013,5,57.8,77.2
2013,6,219.8,77.2
2013,7,310.0,77.2
2013,8,254.7,83.0
2013,9,152.7,112.1
2013,10,129.4,144.0
2013,11,14.0,190.6
2013,12,6.7,120.9
2014,1,19.2,99.9
2014,2,27.4,99.9
2014,3,36.1,96.7
2014,4,22.2,93.3
2014,5,72.9,89.1
2014,6,95.4,103.4
2014,7,261.2,171.3
2014,8,237.5,174.3
2014,9,188.0,157.7
2014,10,60.2,156.6
2014,11,14.4,131.8
2014,12,10.7,122.9
2015,1,17.4,71.6
2015,2,21.0,71.0
2015,3,62.0,71.0
2015,4,69.4,71.0
2015,5,53.8,71.0
2015,6,192.8,71.0
2015,7,242.4,71.0
2015,8,205.2,71.0
2015,9,131.8,71.0
2015,10,42.9,71.0
2015,11,39.4,71.0
2015,12,15.0,71.0
2016,1,19.3,71.0
2016,2,22.8,71.0
2016,3,27.6,71.0
2016,4,37.4,71.0
2016,5,62.6,71.0
2016,6,168.3,71.0
2016,7,289.1,71.0
2016,8,256.3,71.0
2016,9,171.9,71.0
2016,10,76.1,71.0
2016,11,29.7,71.0
2016,12,14.9,71.0
2017,1,19.0,71.0
2017,2,22.6,71.0
2017,3,27.8,71.0
2017,4,37.9,71.0
2017,5,62.4,71.0
2017,6,168.1,71.0
2017,7,289.3,71.0
2017,8,256.2,71.0
2017,9,171.5,71.0
2017,10,76.3,71.0
2017,11,29.9,71.0
2017,12,15.0,71.0
2018,1,19.2,71.0
2018,2,20.1,71.0
2018,3,27.1,71.0
2018,4,40.2,71.0
2018,5,62.7,71.0
2018,6,165.0,71.0
2018,7,286.3,71.0
2018,8,254.3,71.0
2018,9,171.9,71.0
2018,10,77.2,71.0
2018,11,28.1,71.0
2018,12,14.1,71.0
2019,1,18.5,61.4
2019,2,33.1,64.2
2019,3,18.7,69.8
2019,4,31.5,68.1
2019,5,51.3,68.1
2019,6,113.5,68.1
2019,7,298.8,68.1
2019,8,299.9,68.1
2019,9,259.5,68.1
2019,10,110.1,68.1
2019,11,31.6,74.7
2019,12,19.2,65.7
2020,1,28.3,70.8
2020,2,12.1,69.1
2020,3,44.7,66.1
2020,4,42.7,68.1
2020,5,71.8,68.1
2020,6,195.6,68.1
2020,7,257.1,68.1
2020,8,327.8,68.1
2020,9,178.0,68.1
2020,10,78.3,68.1
2020,11,29.2,73.9
2020,12,17.0,80.3
2021,1,20.2,67.1
2021,2,7.6,69.7
2021,3,16.7,71.3
2021,4,31.1,77.9
2021,5,107.8,77.9
2021,6,182.4,76.5
2021,7,266.2,77.9
2021,8,196.3,77.9
2021,9,229.6,77.9
2021,10,100.8,77.9
2021,11,56.5,83.8
2021,12,20.5,98.0
2022,1,39.5,86.1
2022,2,19.1,83.5
2022,3,8.9,96.0
2022,4,38.2,106.2
2022,5,83.2,106.9
2022,6,152.2,106.9
2022,7,327.2,106.9
2022,8,264.0,106.9
2022,9,181.4,106.9
2022,10,111.8,106.9
2022,11,18.6,102.2
2022,12,13.6,80.4
2023,1,14.8,77.9
2023,2,7.2,93.2
2023,3,37.6,95.5
2023,4,41.4,94.3
2023,5,67.5,94.4
2023,6,151.2,94.4
2023,7,315.9,94.4
2023,8,162.7,94.4
2023,9,190.0,94.4
2023,10,50.8,94.4
2023,11,34.6,103.2
2023,12,25.5,96.5
2024,1,7.2,97.4
2024,2,19.6,88.5
2024,3,28.5,83.5
2024,4,31.4,94.4
2024,5,66.0,94.4
2024,6,147.2,94.4
2024,7,305.8,94.4
2024,8,293.9,94.4
2024,9,187.3,94.4
2024,10,75.7,94.4
2024,11,13.6,98.9
2024,12,28.1,99.6
