Year,Month,Rainfall,WPI
2012,4,47.5,80.6
2012,5,31.7,78.7
2012,6,117.8,72.0
2012,7,250.2,72.4
2012,8,262.4,73.7
2012,9,193.5,73.7
2012,10,58.7,74.1
2012,11,30.7,71.3
2012,12,11.7,71.6
2013,1,11.3,76.8
2013,2,40.1,76.7
2013,3,15.7,81.6
2013,4,30.4,84.6
2013,5,57.8,86.5
2013,6,219.8,90.7
2013,7,310.0,93.6
2013,8,254.7,94.9
2013,9,152.7,93.1
2013,10,129.4,93.2
2013,11,14.0,92.0
2013,12,6.7,94.8
2014,1,19.2,96.6
2014,2,27.4,97.8
2014,3,36.1,92.4
2014,4,22.2,95.3
2014,5,72.9,100.3
2014,6,95.4,92.5
2014,7,261.2,106.2
2014,8,237.5,107.0
2014,9,188.0,105.6
2014,10,60.2,105.6
2014,11,14.4,99.5
2014,12,10.7,107.6
2015,1,17.4,115.8
2015,2,21.0,114.1
2015,3,62.0,111.8
2015,4,69.4,108.0
2015,5,53.8,119.2
2015,6,192.8,99.6
2015,7,242.4,98.0
2015,8,205.2,98.0
2015,9,131.8,98.0
2015,10,42.9,98.0
2015,11,39.4,98.0
2015,12,15.0,98.0
2016,1,19.3,98.0
2016,2,22.8,98.0
2016,3,27.6,98.0
2016,4,37.4,123.5
2016,5,62.6,128.3
2016,6,168.3,120.9
2016,7,289.1,118.5
2016,8,256.3,139.9
2016,9,171.9,139.1
2016,10,76.1,135.4
2016,11,29.7,125.1
2016,12,14.9,123.3
2017,1,19.0,119.7
2017,2,22.6,112.8
2017,3,27.8,120.4
2017,4,37.9,133.7
2017,5,62.4,135.0
2017,6,168.1,129.3
2017,7,289.3,132.3
2017,8,256.2,137.9
2017,9,171.5,140.3
2017,10,76.3,147.9
2017,11,29.9,154.0
2017,12,15.0,175.7
2018,1,19.2,180.1
2018,2,20.1,199.3
2018,3,27.1,192.8
2018,4,40.2,187.6
2018,5,62.7,186.2
2018,6,165.0,178.0
2018,7,286.3,190.3
2018,8,254.3,184.2
2018,9,171.9,189.9
2018,10,77.2,184.8
2018,11,28.1,183.7
2018,12,14.1,182.0
2019,1,18.5,177.5
2019,2,33.1,168.0
2019,3,18.7,166.1
2019,4,31.5,161.0
2019,5,51.3,149.7
2019,6,113.5,149.3
2019,7,298.8,158.2
2019,8,299.9,159.9
2019,9,259.5,164.4
2019,10,110.1,160.5
2019,11,31.6,156.4
2019,12,19.2,156.4
2020,1,28.3,161.7
2020,2,12.1,161.6
2020,3,44.7,195.7
2020,4,42.7,192.7
2020,5,71.8,191.1
2020,6,195.6,159.9
2020,7,257.1,151.6
2020,8,327.8,169.9
2020,9,178.0,171.9
2020,10,78.3,163.3
2020,11,29.2,161.1
2020,12,17.0,159.8
2021,1,20.2,170.2
2021,2,7.6,184.7
2021,3,16.7,170.3
2021,4,31.1,155.7
2021,5,107.8,149.1
2021,6,182.4,146.1
2021,7,266.2,149.7
2021,8,196.3,148.5
2021,9,229.6,146.9
2021,10,100.8,144.4
2021,11,56.5,141.0
2021,12,20.5,139.3
2022,1,39.5,135.0
2022,2,19.1,143.0
2022,3,8.9,145.6
2022,4,38.2,127.8
2022,5,83.2,126.6
2022,6,152.2,129.5
2022,7,327.2,149.1
2022,8,264.0,145.5
2022,9,181.4,144.3
2022,10,111.8,144.8
2022,11,18.6,143.8
2022,12,13.6,142.0
2023,1,14.8,135.9
2023,2,7.2,119.2
2023,3,37.6,111.9
2023,4,41.4,118.4
2023,5,67.5,122.3
2023,6,151.2,118.8
2023,7,315.9,118.4
2023,8,162.7,123.9
2023,9,190.0,126.2
2023,10,50.8,132.5
2023,11,34.6,134.3
2023,12,25.5,140.8
2024,1,7.2,144.4
2024,2,19.6,149.5
2024,3,28.5,141.4
2024,4,31.4,144.6
2024,5,66.0,131.6
2024,6,147.2,129.1
2024,7,305.8,126.0
2024,8,293.9,123.1
2024,9,187.3,121.6
2024,10,75.7,120.8
2024,11,13.6,122.9
2024,12,28.1,127.2
