Year,Month,Rainfall,WPI
2012,4,47.5,87.5
2012,5,31.7,89.2
2012,6,117.8,87.0
2012,7,250.2,83.6
2012,8,262.4,80.3
2012,9,193.5,93.7
2012,10,58.7,101.9
2012,11,30.7,94.7
2012,12,11.7,101.9
2013,1,11.3,116.8
2013,2,40.1,143.7
2013,3,15.7,157.1
2013,4,30.4,162.6
2013,5,57.8,155.1
2013,6,219.8,146.6
2013,7,310.0,150.3
2013,8,254.7,175.9
2013,9,152.7,188.6
2013,10,129.4,198.2
2013,11,14.0,196.2
2013,12,6.7,209.9
2014,1,19.2,216.0
2014,2,27.4,220.4
2014,3,36.1,199.1
2014,4,22.2,191.6
2014,5,72.9,171.3
2014,6,95.4,151.4
2014,7,261.2,140.1
2014,8,237.5,134.3
2014,9,188.0,129.9
2014,10,60.2,129.4
2014,11,14.4,126.5
2014,12,10.7,123.4
2015,1,17.4,111.3
2015,2,21.0,107.6
2015,3,62.0,114.6
2015,4,69.4,115.2
2015,5,53.8,114.0
2015,6,192.8,112.1
2015,7,242.4,108.5
2015,8,205.2,104.8
2015,9,131.8,109.2
2015,10,42.9,110.7
2015,11,39.4,107.5
2015,12,15.0,106.6
2016,1,19.3,103.2
2016,2,22.8,107.1
2016,3,27.6,110.4
2016,4,37.4,124.1
2016,5,62.6,130.2
2016,6,168.3,132.2
2016,7,289.1,140.9
2016,8,256.3,171.7
2016,9,171.9,181.6
2016,10,76.1,186.8
2016,11,29.7,194.6
2016,12,14.9,199.0
2017,1,19.0,196.7
2017,2,22.6,197.5
2017,3,27.8,207.8
2017,4,37.9,205.1
2017,5,62.4,206.7
2017,6,168.1,197.4
2017,7,289.3,199.4
2017,8,256.2,194.7
2017,9,171.5,185.9
2017,10,76.3,177.6
2017,11,29.9,163.4
2017,12,15.0,156.1
2018,1,19.2,147.1
2018,2,20.1,141.5
2018,3,27.1,148.8
2018,4,40.2,151.5
2018,5,62.7,135.8
2018,6,165.0,124.8
2018,7,286.3,123.4
2018,8,254.3,123.2
2018,9,171.9,131.5
2018,10,77.2,133.5
2018,11,28.1,132.4
2018,12,14.1,137.9
2019,1,18.5,144.3
2019,2,33.1,140.2
2019,3,18.7,145.6
2019,4,31.5,152.4
2019,5,51.3,155.5
2019,6,113.5,156.5
2019,7,298.8,155.2
2019,8,299.9,155.7
2019,9,259.5,156.5
2019,10,110.1,153.0
2019,11,31.6,166.5
2019,12,19.2,175.4
2020,1,28.3,181.2
2020,2,12.1,186.1
2020,3,44.7,188.6
2020,4,42.7,198.9
2020,5,71.8,188.6
2020,6,195.6,179.4
2020,7,257.1,166.1
2020,8,327.8,162.8
2020,9,178.0,163.0
2020,10,78.3,163.3
2020,11,29.2,156.2
2020,12,17.0,150.0
2021,1,20.2,152.8
2021,2,7.6,154.3
2021,3,16.7,151.4
2021,4,31.1,154.4
2021,5,107.8,154.3
2021,6,182.4,149.9
2021,7,266.2,149.3
2021,8,196.3,146.8
2021,9,229.6,143.5
2021,10,100.8,142.5
2021,11,56.5,151.9
2021,12,20.5,168.9
2022,1,39.5,180.7
2022,2,19.1,181.1
2022,3,8.9,196.3
2022,4,38.2,211.1
2022,5,83.2,214.5
2022,6,152.2,223.0
2022,7,327.2,242.5
2022,8,264.0,255.9
2022,9,181.4,265.7
2022,10,111.8,285.6
2022,11,18.6,277.3
2022,12,13.6,255.6
2023,1,14.8,256.9
2023,2,7.2,247.9
2023,3,37.6,252.2
2023,4,41.4,262.5
2023,5,67.5,253.8
2023,6,151.2,244.0
2023,7,315.9,230.2
2023,8,162.7,230.7
2023,9,190.0,234.5
2023,10,50.8,233.0
2023,11,34.6,238.0
2023,12,25.5,232.5
2024,1,7.2,232.9
2024,2,19.6,231.7
2024,3,28.5,229.1
2024,4,31.4,231.2
2024,5,66.0,230.0
2024,6,147.2,220.9
2024,7,305.8,224.1
2024,8,293.9,244.2
2024,9,187.3,251.6
2024,10,75.7,248.9
2024,11,13.6,247.7
2024,12,28.1,245.2
