Year,Month,Rainfall,WPI
2012,4,47.5,100.0
2012,5,31.7,100.0
2012,6,117.8,100.0
2012,7,250.2,100.0
2012,8,262.4,100.0
2012,9,193.5,100.0
2012,10,58.7,100.0
2012,11,30.7,102.0
2012,12,11.7,104.0
2013,1,11.3,104.0
2013,2,40.1,104.0
2013,3,15.7,104.0
2013,4,30.4,104.0
2013,5,57.8,104.0
2013,6,219.8,105.8
2013,7,310.0,104.0
2013,8,254.7,104.0
2013,9,152.7,104.0
2013,10,129.4,104.0
2013,11,14.0,110.9
2013,12,6.7,108.5
2014,1,19.2,108.5
2014,2,27.4,109.4
2014,3,36.1,110.0
2014,4,22.2,110.0
2014,5,72.9,117.1
2014,6,95.4,112.2
2014,7,261.2,112.9
2014,8,237.5,112.9
2014,9,188.0,113.6
2014,10,60.2,113.6
2014,11,14.4,113.6
2014,12,10.7,113.6
2015,1,17.4,113.6
2015,2,21.0,113.6
2015,3,62.0,112.7
2015,4,69.4,113.6
2015,5,53.8,113.6
2015,6,192.8,113.6
2015,7,242.4,113.6
2015,8,205.2,113.6
2015,9,131.8,113.6
2015,10,42.9,113.6
2015,11,39.4,113.6
2015,12,15.0,113.6
2016,1,19.3,113.6
2016,2,22.8,113.6
2016,3,27.6,113.6
2016,4,37.4,113.6
2016,5,62.6,113.6
2016,6,168.3,113.6
2016,7,289.1,113.6
2016,8,256.3,113.6
2016,9,171.9,113.6
2016,10,76.1,113.6
2016,11,29.7,113.6
2016,12,14.9,113.6
2017,1,19.0,113.6
2017,2,22.6,113.6
2017,3,27.8,113.6
2017,4,37.9,113.6
2017,5,62.4,113.6
2017,6,168.1,113.6
2017,7,289.3,113.6
2017,8,256.2,113.6
2017,9,171.5,113.6
2017,10,76.3,113.6
2017,11,29.9,113.6
2017,12,15.0,113.6
2018,1,19.2,113.6
2018,2,20.1,113.6
2018,3,27.1,113.6
2018,4,40.2,113.6
2018,5,62.7,113.6
2018,6,165.0,113.6
2018,7,286.3,113.6
2018,8,254.3,113.6
2018,9,171.9,117.2
2018,10,77.2,113.6
2018,11,28.1,113.6
2018,12,14.1,113.6
2019,1,18.5,113.6
2019,2,33.1,113.6
2019,3,18.7,113.6
2019,4,31.5,113.6
2019,5,51.3,113.6
2019,6,113.5,113.6
2019,7,298.8,113.6
2019,8,299.9,113.6
2019,9,259.5,113.6
2019,10,110.1,113.6
2019,11,31.6,113.6
2019,12,19.2,113.6
2020,1,28.3,113.6
2020,2,12.1,113.6
2020,3,44.7,113.6
2020,4,42.7,113.6
2020,5,71.8,113.6
2020,6,195.6,113.6
2020,7,257.1,113.6
2020,8,327.8,113.6
2020,9,178.0,113.6
2020,10,78.3,113.6
2020,11,29.2,113.6
2020,12,17.0,113.6
2021,1,20.2,113.6
2021,2,7.6,113.6
2021,3,16.7,113.6
2021,4,31.1,113.6
2021,5,107.8,113.6
2021,6,182.4,113.6
2021,7,266.2,113.6
2021,8,196.3,113.6
2021,9,229.6,113.6
2021,10,100.8,113.6
2021,11,56.5,113.6
2021,12,20.5,113.6
2022,1,39.5,113.6
2022,2,19.1,113.6
2022,3,8.9,113.6
2022,4,38.2,113.6
2022,5,83.2,113.6
2022,6,152.2,113.6
2022,7,327.2,113.6
2022,8,264.0,113.6
2022,9,181.4,113.6
2022,10,111.8,113.6
2022,11,18.6,113.6
2022,12,13.6,113.6
2023,1,14.8,113.6
2023,2,7.2,113.6
2023,3,37.6,113.6
2023,4,41.4,113.6
2023,5,67.5,113.6
2023,6,151.2,113.6
2023,7,315.9,113.6
2023,8,162.7,113.6
2023,9,190.0,113.6
2023,10,50.8,113.6
2023,11,34.6,113.6
2023,12,25.5,113.6
2024,1,7.2,113.6
2024,2,19.6,113.6
2024,3,28.5,113.6
2024,4,31.4,113.6
2024,5,66.0,113.6
2024,6,147.2,113.6
2024,7,305.8,113.6
2024,8,293.9,113.6
2024,9,187.3,113.6
2024,10,75.7,113.6
2024,11,13.6,113.6
2024,12,28.1,113.6
