Year,Month,Rainfall,WPI
2012,4,47.5,129.3
2012,5,31.7,138.3
2012,6,117.8,144.8
2012,7,250.2,182.3
2012,8,262.4,147.2
2012,9,193.5,107.0
2012,10,58.7,105.5
2012,11,30.7,111.4
2012,12,11.7,86.6
2013,1,11.3,88.3
2013,2,40.1,73.7
2013,3,15.7,84.1
2013,4,30.4,106.9
2013,5,57.8,162.9
2013,6,219.8,186.1
2013,7,310.0,158.3
2013,8,254.7,184.8
2013,9,152.7,206.4
2013,10,129.4,269.5
2013,11,14.0,258.8
2013,12,6.7,151.0
2014,1,19.2,79.5
2014,2,27.4,79.6
2014,3,36.1,82.1
2014,4,22.2,102.4
2014,5,72.9,101.1
2014,6,95.4,108.3
2014,7,261.2,248.3
2014,8,237.5,325.1
2014,9,188.0,213.9
2014,10,60.2,168.4
2014,11,14.4,139.1
2014,12,10.7,147.2
2015,1,17.4,131.3
2015,2,21.0,119.2
2015,3,62.0,122.7
2015,4,69.4,166.7
2015,5,53.8,168.7
2015,6,192.8,196.0
2015,7,242.4,164.1
2015,8,205.2,149.3
2015,9,131.8,164.4
2015,10,42.9,220.9
2015,11,39.4,293.9
2015,12,15.0,211.3
2016,1,19.3,144.8
2016,2,22.8,103.6
2016,3,27.6,99.4
2016,4,37.4,142.7
2016,5,62.6,179.0
2016,6,168.3,209.4
2016,7,289.1,147.5
2016,8,256.3,114.9
2016,9,171.9,116.6
2016,10,76.1,132.3
2016,11,29.7,114.4
2016,12,14.9,95.3
2017,1,19.0,91.4
2017,2,22.6,110.1
2017,3,27.8,126.1
2017,4,37.9,118.8
2017,5,62.4,98.6
2017,6,168.1,147.8
2017,7,289.3,456.6
2017,8,256.2,413.3
2017,9,171.5,219.3
2017,10,76.3,260.3
2017,11,29.9,422.6
2017,12,15.0,224.5
2018,1,19.2,119.7
2018,2,20.1,95.5
2018,3,27.1,92.7
2018,4,40.2,111.2
2018,5,62.7,104.6
2018,6,165.0,147.2
2018,7,286.3,232.3
2018,8,254.3,190.4
2018,9,171.9,140.2
2018,10,77.2,141.0
2018,11,28.1,144.1
2018,12,14.1,139.7
2019,1,18.5,167.5
2019,2,33.1,133.4
2019,3,18.7,161.8
2019,4,31.5,208.8
2019,5,51.3,287.2
2019,6,113.5,318.9
2019,7,298.8,326.3
2019,8,299.9,299.3
2019,9,259.5,217.8
2019,10,110.1,341.9
2019,11,31.6,302.7
2019,12,19.2,191.5
2020,1,28.3,200.0
2020,2,12.1,158.4
2020,3,44.7,135.7
2020,4,42.7,146.7
2020,5,71.8,125.8
2020,6,195.6,173.5
2020,7,257.1,388.4
2020,8,327.8,345.3
2020,9,178.0,434.0
2020,10,78.3,389.9
2020,11,29.2,339.6
2020,12,17.0,268.5
2021,1,20.2,175.7
2021,2,7.6,163.4
2021,3,16.7,142.1
2021,4,31.1,147.2
2021,5,107.8,132.2
2021,6,182.4,145.2
2021,7,266.2,228.5
2021,8,196.3,235.7
2021,9,229.6,214.3
2021,10,100.8,415.3
2021,11,56.5,560.9
2021,12,20.5,520.1
2022,1,39.5,272.8
2022,2,19.1,194.1
2022,3,8.9,162.1
2022,4,38.2,204.0
2022,5,83.2,421.9
2022,6,152.2,553.3
2022,7,327.2,301.8
2022,8,264.0,249.8
2022,9,181.4,354.3
2022,10,111.8,437.4
2022,11,18.6,266.6
2022,12,13.6,181.8
2023,1,14.8,162.3
2023,2,7.2,167.8
2023,3,37.6,191.1
2023,4,41.4,173.6
2023,5,67.5,159.8
2023,6,151.2,249.4
2023,7,315.9,1043.6
2023,8,162.7,813.9
2023,9,190.0,219.5
2023,10,50.8,189.9
2023,11,34.6,330.7
2023,12,25.5,328.9
2024,1,7.2,254.4
2024,2,19.6,269.3
2024,3,28.5,250.1
2024,4,31.4,244.0
2024,5,66.0,262.8
2024,6,147.2,393.6
2024,7,305.8,630.5
2024,8,293.9,385.4
2024,9,187.3,384.7
2024,10,75.7,641.3
2024,11,13.6,433.9
2024,12,28.1,346.4
