Year,Month,Rainfall,WPI
2012,4,47.5,66.8
2012,5,31.7,67.3
2012,6,117.8,65.9
2012,7,250.2,76.0
2012,8,262.4,84.0
2012,9,193.5,83.5
2012,10,58.7,81.2
2012,11,30.7,80.0
2012,12,11.7,82.2
2013,1,11.3,85.4
2013,2,40.1,89.3
2013,3,15.7,96.2
2013,4,30.4,104.2
2013,5,57.8,107.6
2013,6,219.8,105.1
2013,7,310.0,104.5
2013,8,254.7,100.4
2013,9,152.7,99.0
2013,10,129.4,100.0
2013,11,14.0,101.4
2013,12,6.7,101.4
2014,1,19.2,103.0
2014,2,27.4,104.6
2014,3,36.1,105.3
2014,4,22.2,104.2
2014,5,72.9,103.1
2014,6,95.4,103.3
2014,7,261.2,104.1
2014,8,237.5,105.7
2014,9,188.0,106.3
2014,10,60.2,106.6
2014,11,14.4,108.6
2014,12,10.7,113.6
2015,1,17.4,116.1
2015,2,21.0,120.7
2015,3,62.0,119.7
2015,4,69.4,119.7
2015,5,53.8,119.3
2015,6,192.8,117.9
2015,7,242.4,117.4
2015,8,205.2,115.5
2015,9,131.8,117.0
2015,10,42.9,118.8
2015,11,39.4,127.2
2015,12,15.0,129.0
2016,1,19.3,126.5
2016,2,22.8,125.2
2016,3,27.6,125.0
2016,4,37.4,124.5
2016,5,62.6,121.8
2016,6,168.3,120.5
2016,7,289.1,121.0
2016,8,256.3,118.9
2016,9,171.9,115.8
2016,10,76.1,115.0
2016,11,29.7,116.4
2016,12,14.9,115.7
2017,1,19.0,113.8
2017,2,22.6,112.3
2017,3,27.8,111.5
2017,4,37.9,110.1
2017,5,62.4,107.0
2017,6,168.1,108.0
2017,7,289.3,110.5
2017,8,256.2,116.8
2017,9,171.5,122.6
2017,10,76.3,129.3
2017,11,29.9,128.7
2017,12,15.0,128.3
2018,1,19.2,125.5
2018,2,20.1,125.0
2018,3,27.1,124.7
2018,4,40.2,122.4
2018,5,62.7,124.6
2018,6,165.0,124.2
2018,7,286.3,124.2
2018,8,254.3,122.5
2018,9,171.9,119.1
2018,10,77.2,115.3
2018,11,28.1,117.4
2018,12,14.1,117.2
2019,1,18.5,115.6
2019,2,33.1,111.9
2019,3,18.7,110.5
2019,4,31.5,111.5
2019,5,51.3,114.7
2019,6,113.5,115.0
2019,7,298.8,113.4
2019,8,299.9,116.5
2019,9,259.5,118.3
2019,10,110.1,114.9
2019,11,31.6,114.7
2019,12,19.2,112.9
2020,1,28.3,109.7
2020,2,12.1,109.3
2020,3,44.7,117.0
2020,4,42.7,116.7
2020,5,71.8,116.5
2020,6,195.6,114.9
2020,7,257.1,113.2
2020,8,327.8,115.4
2020,9,178.0,113.5
2020,10,78.3,111.5
2020,11,29.2,112.2
2020,12,17.0,113.0
2021,1,20.2,113.7
2021,2,7.6,118.6
2021,3,16.7,126.3
2021,4,31.1,132.6
2021,5,107.8,128.5
2021,6,182.4,127.4
2021,7,266.2,121.4
2021,8,196.3,120.8
2021,9,229.6,118.5
2021,10,100.8,117.2
2021,11,56.5,117.3
2021,12,20.5,123.1
2022,1,39.5,127.1
2022,2,19.1,127.2
2022,3,8.9,126.6
2022,4,38.2,120.7
2022,5,83.2,119.7
2022,6,152.2,118.3
2022,7,327.2,117.9
2022,8,264.0,115.2
2022,9,181.4,114.9
2022,10,111.8,110.4
2022,11,18.6,114.0
2022,12,13.6,115.7
2023,1,14.8,116.6
2023,2,7.2,114.2
2023,3,37.6,115.0
2023,4,41.4,112.5
2023,5,67.5,110.1
2023,6,151.2,111.0
2023,7,315.9,127.1
2023,8,162.7,156.6
2023,9,190.0,163.1
2023,10,50.8,163.8
2023,11,34.6,171.7
2023,12,25.5,172.7
2024,1,7.2,172.0
2024,2,19.6,176.0
2024,3,28.5,203.4
2024,4,31.4,216.0
2024,5,66.0,221.1
2024,6,147.2,218.9
2024,7,305.8,209.7
2024,8,293.9,207.7
2024,9,187.3,198.5
2024,10,75.7,186.4
2024,11,13.6,191.8
2024,12,28.1,183.0
