Year,Month,Rainfall,WPI
2012,4,47.5,90.7
2012,5,31.7,90.8
2012,6,117.8,92.1
2012,7,250.2,97.9
2012,8,262.4,102.3
2012,9,193.5,102.3
2012,10,58.7,99.3
2012,11,30.7,97.5
2012,12,11.7,97.2
2013,1,11.3,96.5
2013,2,40.1,96.3
2013,3,15.7,96.5
2013,4,30.4,96.2
2013,5,57.8,96.3
2013,6,219.8,95.2
2013,7,310.0,96.6
2013,8,254.7,96.3
2013,9,152.7,97.1
2013,10,129.4,97.9
2013,11,14.0,103.1
2013,12,6.7,103.7
2014,1,19.2,105.7
2014,2,27.4,108.5
2014,3,36.1,108.3
2014,4,22.2,109.7
2014,5,72.9,115.1
2014,6,95.4,116.5
2014,7,261.2,122.3
2014,8,237.5,127.0
2014,9,188.0,128.0
2014,10,60.2,124.3
2014,11,14.4,124.0
2014,12,10.7,124.7
2015,1,17.4,131.6
2015,2,21.0,132.1
2015,3,62.0,133.7
2015,4,69.4,138.8
2015,5,53.8,149.7
2015,6,192.8,160.4
2015,7,242.4,162.8
2015,8,205.2,167.7
2015,9,131.8,171.8
2015,10,42.9,196.9
2015,11,39.4,204.7
2015,12,15.0,203.4
2016,1,19.3,206.1
2016,2,22.8,199.3
2016,3,27.6,198.2
2016,4,37.4,213.0
2016,5,62.6,231.0
2016,6,168.3,247.6
2016,7,289.1,243.7
2016,8,256.3,229.3
2016,9,171.9,211.6
2016,10,76.1,199.0
2016,11,29.7,188.4
2016,12,14.9,178.4
2017,1,19.0,167.6
2017,2,22.6,158.1
2017,3,27.8,151.1
2017,4,37.9,149.5
2017,5,62.4,145.7
2017,6,168.1,140.8
2017,7,289.3,134.1
2017,8,256.2,127.2
2017,9,171.5,129.1
2017,10,76.3,127.7
2017,11,29.9,123.7
2017,12,15.0,121.0
2018,1,19.2,114.8
2018,2,20.1,112.6
2018,3,27.1,112.1
2018,4,40.2,110.5
2018,5,62.7,108.4
2018,6,165.0,105.9
2018,7,286.3,106.9
2018,8,254.3,109.8
2018,9,171.9,107.6
2018,10,77.2,111.0
2018,11,28.1,118.6
2018,12,14.1,123.3
2019,1,18.5,123.5
2019,2,33.1,124.5
2019,3,18.7,122.1
2019,4,31.5,123.5
2019,5,51.3,128.5
2019,6,113.5,132.1
2019,7,298.8,131.5
2019,8,299.9,131.8
2019,9,259.5,133.0
2019,10,110.1,136.1
2019,11,31.6,162.1
2019,12,19.2,177.0
2020,1,28.3,180.9
2020,2,12.1,179.6
2020,3,44.7,176.9
2020,4,42.7,180.6
2020,5,71.8,187.7
2020,6,195.6,184.0
2020,7,257.1,181.7
2020,8,327.8,180.9
2020,9,178.0,177.6
2020,10,78.3,181.5
2020,11,29.2,188.1
2020,12,17.0,191.0
2021,1,20.2,194.0
2021,2,7.6,196.6
2021,3,16.7,196.7
2021,4,31.1,195.3
2021,5,107.8,196.2
2021,6,182.4,194.2
2021,7,266.2,182.9
2021,8,196.3,179.9
2021,9,229.6,181.5
2021,10,100.8,179.5
2021,11,56.5,179.7
2021,12,20.5,181.0
2022,1,39.5,178.0
2022,2,19.1,175.9
2022,3,8.9,176.7
2022,4,38.2,176.3
2022,5,83.2,174.3
2022,6,152.2,175.3
2022,7,327.2,177.4
2022,8,264.0,178.3
2022,9,181.4,179.9
2022,10,111.8,184.0
2022,11,18.6,186.2
2022,12,13.6,190.0
2023,1,14.8,189.0
2023,2,7.2,184.6
2023,3,37.6,185.6
2023,4,41.4,189.0
2023,5,67.5,185.3
2023,6,151.2,196.5
2023,7,315.9,195.8
2023,8,162.7,196.9
2023,9,190.0,205.5
2023,10,50.8,207.2
2023,11,34.6,217.1
2023,12,25.5,216.6
2024,1,7.2,211.6
2024,2,19.6,215.8
2024,3,28.5,218.2
2024,4,31.4,223.4
2024,5,66.0,227.8
2024,6,147.2,227.9
2024,7,305.8,224.8
2024,8,293.9,223.3
2024,9,187.3,220.8
2024,10,75.7,220.5
2024,11,13.6,217.7
2024,12,28.1,212.9
