Year,Month,Rainfall,WPI
2012,4,47.5,105.9
2012,5,31.7,107.0
2012,6,117.8,106.3
2012,7,250.2,107.0
2012,8,262.4,108.1
2012,9,193.5,107.3
2012,10,58.7,102.7
2012,11,30.7,101.4
2012,12,11.7,99.7
2013,1,11.3,99.9
2013,2,40.1,98.6
2013,3,15.7,96.9
2013,4,30.4,96.7
2013,5,57.8,97.9
2013,6,219.8,98.3
2013,7,310.0,100.4
2013,8,254.7,100.0
2013,9,152.7,101.9
2013,10,129.4,100.8
2013,11,14.0,103.0
2013,12,6.7,105.6
2014,1,19.2,106.0
2014,2,27.4,105.4
2014,3,36.1,104.1
2014,4,22.2,107.6
2014,5,72.9,106.6
2014,6,95.4,105.4
2014,7,261.2,107.4
2014,8,237.5,104.8
2014,9,188.0,104.5
2014,10,60.2,101.7
2014,11,14.4,100.6
2014,12,10.7,101.3
2015,1,17.4,101.6
2015,2,21.0,99.1
2015,3,62.0,99.4
2015,4,69.4,98.9
2015,5,53.8,98.3
2015,6,192.8,99.6
2015,7,242.4,98.0
2015,8,205.2,96.6
2015,9,131.8,96.3
2015,10,42.9,97.1
2015,11,39.4,96.1
2015,12,15.0,94.6
2016,1,19.3,94.8
2016,2,22.8,96.7
2016,3,27.6,98.6
2016,4,37.4,102.9
2016,5,62.6,105.5
2016,6,168.3,102.6
2016,7,289.1,102.7
2016,8,256.3,102.3
2016,9,171.9,103.6
2016,10,76.1,106.7
2016,11,29.7,110.0
2016,12,14.9,111.8
2017,1,19.0,112.7
2017,2,22.6,113.0
2017,3,27.8,109.9
2017,4,37.9,109.3
2017,5,62.4,108.3
2017,6,168.1,108.7
2017,7,289.3,107.4
2017,8,256.2,108.9
2017,9,171.5,108.1
2017,10,76.3,108.4
2017,11,29.9,112.9
2017,12,15.0,111.9
2018,1,19.2,114.1
2018,2,20.1,114.8
2018,3,27.1,120.7
2018,4,40.2,121.8
2018,5,62.7,121.8
2018,6,165.0,122.0
2018,7,286.3,121.8
2018,8,254.3,120.5
2018,9,171.9,118.8
2018,10,77.2,119.4
2018,11,28.1,118.6
2018,12,14.1,117.3
2019,1,18.5,118.7
2019,2,33.1,118.7
2019,3,18.7,117.8
2019,4,31.5,123.2
2019,5,51.3,121.7
2019,6,113.5,121.5
2019,7,298.8,122.0
2019,8,299.9,122.8
2019,9,259.5,124.7
2019,10,110.1,125.0
2019,11,31.6,128.4
2019,12,19.2,131.4
2020,1,28.3,132.3
2020,2,12.1,130.6
2020,3,44.7,132.0
2020,4,42.7,130.2
2020,5,71.8,133.5
2020,6,195.6,134.2
2020,7,257.1,133.0
2020,8,327.8,138.1
2020,9,178.0,136.7
2020,10,78.3,135.4
2020,11,29.2,144.6
2020,12,17.0,146.0
2021,1,20.2,146.9
2021,2,7.6,157.4
2021,3,16.7,161.5
2021,4,31.1,167.3
2021,5,107.8,173.2
2021,6,182.4,166.3
2021,7,266.2,167.7
2021,8,196.3,168.8
2021,9,229.6,166.4
2021,10,100.8,168.4
2021,11,56.5,169.6
2021,12,20.5,166.7
2022,1,39.5,170.1
2022,2,19.1,181.0
2022,3,8.9,184.1
2022,4,38.2,193.2
2022,5,83.2,190.9
2022,6,152.2,181.6
2022,7,327.2,168.0
2022,8,264.0,169.2
2022,9,181.4,157.9
2022,10,111.8,159.6
2022,11,18.6,161.0
2022,12,13.6,159.8
2023,1,14.8,157.7
2023,2,7.2,159.6
2023,3,37.6,155.3
2023,4,41.4,153.7
2023,5,67.5,153.0
2023,6,151.2,150.2
2023,7,315.9,152.3
2023,8,162.7,150.9
2023,9,190.0,148.2
2023,10,50.8,147.5
2023,11,34.6,145.4
2023,12,25.5,144.8
2024,1,7.2,144.8
2024,2,19.6,147.4
2024,3,28.5,152.4
2024,4,31.4,153.1
2024,5,66.0,150.3
2024,6,147.2,150.9
2024,7,305.8,151.1
2024,8,293.9,154.0
2024,9,187.3,160.5
2024,10,75.7,171.3
2024,11,13.6,173.8
2024,12,28.1,174.0
