Year,Month,Rainfall,WPI
2012,4,47.5,99.3
2012,5,31.7,99.8
2012,6,117.8,101.9
2012,7,250.2,102.6
2012,8,262.4,106.9
2012,9,193.5,103.3
2012,10,58.7,107.2
2012,11,30.7,114.5
2012,12,11.7,138.7
2013,1,11.3,140.9
2013,2,40.1,136.6
2013,3,15.7,140.4
2013,4,30.4,140.2
2013,5,57.8,139.9
2013,6,219.8,136.6
2013,7,310.0,137.0
2013,8,254.7,142.4
2013,9,152.7,145.5
2013,10,129.4,145.2
2013,11,14.0,136.5
2013,12,6.7,149.9
2014,1,19.2,155.0
2014,2,27.4,154.6
2014,3,36.1,155.8
2014,4,22.2,156.0
2014,5,72.9,172.0
2014,6,95.4,155.9
2014,7,261.2,155.9
2014,8,237.5,157.4
2014,9,188.0,156.5
2014,10,60.2,162.5
2014,11,14.4,167.8
2014,12,10.7,168.9
2015,1,17.4,174.6
2015,2,21.0,174.6
2015,3,62.0,172.7
2015,4,69.4,150.0
2015,5,53.8,166.9
2015,6,192.8,168.0
2015,7,242.4,171.1
2015,8,205.2,171.1
2015,9,131.8,171.1
2015,10,42.9,171.1
2015,11,39.4,171.1
2015,12,15.0,171.1
2016,1,19.3,171.1
2016,2,22.8,171.1
2016,3,27.6,171.1
2016,4,37.4,167.6
2016,5,62.6,162.4
2016,6,168.3,155.3
2016,7,289.1,154.8
2016,8,256.3,161.8
2016,9,171.9,162.5
2016,10,76.1,166.9
2016,11,29.7,174.8
2016,12,14.9,177.3
2017,1,19.0,187.7
2017,2,22.6,191.5
2017,3,27.8,192.0
2017,4,37.9,190.1
2017,5,62.4,185.4
2017,6,168.1,185.3
2017,7,289.3,178.6
2017,8,256.2,180.2
2017,9,171.5,181.4
2017,10,76.3,190.8
2017,11,29.9,183.4
2017,12,15.0,176.2
2018,1,19.2,177.1
2018,2,20.1,176.8
2018,3,27.1,180.8
2018,4,40.2,181.7
2018,5,62.7,179.7
2018,6,165.0,177.6
2018,7,286.3,181.0
2018,8,254.3,184.2
2018,9,171.9,188.1
2018,10,77.2,186.1
2018,11,28.1,187.9
2018,12,14.1,187.8
2019,1,18.5,185.1
2019,2,33.1,184.9
2019,3,18.7,186.3
2019,4,31.5,184.0
2019,5,51.3,178.9
2019,6,113.5,178.2
2019,7,298.8,176.4
2019,8,299.9,181.8
2019,9,259.5,188.9
2019,10,110.1,190.7
2019,11,31.6,201.0
2019,12,19.2,206.0
2020,1,28.3,207.1
2020,2,12.1,208.5
2020,3,44.7,207.9
2020,4,42.7,208.3
2020,5,71.8,211.7
2020,6,195.6,201.2
2020,7,257.1,204.9
2020,8,327.8,225.8
2020,9,178.0,231.3
2020,10,78.3,233.5
2020,11,29.2,232.5
2020,12,17.0,232.6
2021,1,20.2,229.9
2021,2,7.6,226.0
2021,3,16.7,219.0
2021,4,31.1,216.1
2021,5,107.8,215.9
2021,6,182.4,218.1
2021,7,266.2,218.1
2021,8,196.3,219.6
2021,9,229.6,223.4
2021,10,100.8,220.4
2021,11,56.5,221.5
2021,12,20.5,225.3
2022,1,39.5,242.4
2022,2,19.1,240.0
2022,3,8.9,240.7
2022,4,38.2,240.5
2022,5,83.2,241.5
2022,6,152.2,240.2
2022,7,327.2,244.0
2022,8,264.0,251.8
2022,9,181.4,243.4
2022,10,111.8,257.4
2022,11,18.6,255.0
2022,12,13.6,238.8
2023,1,14.8,238.2
2023,2,7.2,239.0
2023,3,37.6,239.3
2023,4,41.4,239.4
2023,5,67.5,250.1
2023,6,151.2,256.5
2023,7,315.9,256.2
2023,8,162.7,257.6
2023,9,190.0,257.9
2023,10,50.8,247.4
2023,11,34.6,238.7
2023,12,25.5,238.5
2024,1,7.2,238.7
2024,2,19.6,237.1
2024,3,28.5,235.5
2024,4,31.4,235.1
2024,5,66.0,235.5
2024,6,147.2,236.0
2024,7,305.8,235.4
2024,8,293.9,233.7
2024,9,187.3,233.3
2024,10,75.7,232.7
2024,11,13.6,232.1
2024,12,28.1,232.7
